episode,step,reward,timestamp,cpu_percent,ram_percent,ram_used_gb,ram_available_gb,gpu_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent,action,penalty_gpu_penalty,penalty_total_penalty,penalty_cpu_penalty,penalty_ram_penalty
0,0,0.0,5.999828815460205,13.1,47.0,7.420093536376953,8.355701446533203,0,722.265625,8192.0,8.816719055175781,1,0.0,0.0,0.0,0.0
0,1,0.0,6.3308234214782715,16.3,47.1,7.428127288818359,8.347667694091797,0,722.265625,8192.0,8.816719055175781,8,0.0,0.0,0.0,0.0
0,2,0.0,6.661382436752319,11.2,47.1,7.434577941894531,8.341209411621094,0,722.265625,8192.0,8.816719055175781,8,0.0,0.0,0.0,0.0
0,3,0.0,6.996540784835815,12.2,47.2,7.438846588134766,8.33694839477539,0,722.265625,8192.0,8.816719055175781,2,0.0,0.0,0.0,0.0
0,4,0.0,7.328047275543213,20.3,47.3,7.469322204589844,8.306472778320312,0,722.265625,8192.0,8.816719055175781,1,0.0,0.0,0.0,0.0
0,5,0.0,7.65995979309082,11.6,47.2,7.449344635009766,8.326679229736328,0,721.828125,8192.0,8.811378479003906,2,0.0,0.0,0.0,0.0
0,6,4.0,7.989754915237427,7.0,47.0,7.420482635498047,8.35531234741211,0,721.828125,8192.0,8.811378479003906,7,0.0,0.0,0.0,0.0
0,7,3.0,8.321718215942383,9.5,47.0,7.420040130615234,8.355754852294922,0,721.828125,8192.0,8.811378479003906,3,0.0,0.0,0.0,0.0
0,8,0.0,8.655717611312866,12.0,47.2,7.443248748779297,8.33242416381836,0,715.6953125,8192.0,8.736515045166016,0,0.0,0.0,0.0,0.0
0,9,-3.0,8.989116907119751,19.8,47.2,7.440254211425781,8.335540771484375,0,715.6953125,8192.0,8.736515045166016,3,0.0,0.0,0.0,0.0
0,10,-3.0,9.318736553192139,5.8,47.1,7.429893493652344,8.345901489257812,0,715.6953125,8192.0,8.736515045166016,4,0.0,0.0,0.0,0.0
0,11,-3.0,9.648823499679565,6.0,47.1,7.4270172119140625,8.348777770996094,0,715.6953125,8192.0,8.736515045166016,5,0.0,0.0,0.0,0.0
0,12,0.0,9.98133635520935,6.9,47.0,7.417442321777344,8.358352661132812,0,715.6953125,8192.0,8.736515045166016,0,0.0,0.0,0.0,0.0
0,13,-5.0,10.313614845275879,4.9,47.1,7.422782897949219,8.353012084960938,0,715.6953125,8192.0,8.736515045166016,2,0.0,0.0,0.0,0.0
0,14,0.0,10.640159606933594,5.9,47.0,7.421627044677734,8.354167938232422,0,715.6953125,8192.0,8.736515045166016,0,0.0,0.0,0.0,0.0
0,15,0.0,10.970628261566162,6.3,47.1,7.437339782714844,8.338455200195312,0,715.6953125,8192.0,8.736515045166016,1,0.0,0.0,0.0,0.0
0,16,-1.0,11.298281908035278,5.8,47.2,7.446582794189453,8.329212188720703,0,715.6953125,8192.0,8.736515045166016,8,0.0,0.0,0.0,0.0
0,17,-2.0,11.626891374588013,4.8,47.4,7.470485687255859,8.305309295654297,0,715.6953125,8192.0,8.736515045166016,5,0.0,0.0,0.0,0.0
0,18,0.0,11.957419872283936,13.1,47.4,7.480571746826172,8.295223236083984,0,715.6953125,8192.0,8.736515045166016,1,0.0,0.0,0.0,0.0
0,19,5.0,12.284284353256226,6.4,47.5,7.490093231201172,8.285701751708984,0,715.6953125,8192.0,8.736515045166016,4,0.0,0.0,0.0,0.0
0,20,-1.0,12.615573644638062,20.8,47.6,7.50299072265625,8.272804260253906,0,726.203125,8192.0,8.864784240722656,8,0.0,0.0,0.0,0.0
1,21,-1.0,12.946378469467163,6.0,47.5,7.499858856201172,8.275936126708984,0,715.6953125,8192.0,8.736515045166016,8,0.0,0.0,0.0,0.0
1,22,2.0,13.274769306182861,6.0,47.5,7.498653411865234,8.277141571044922,0,715.6953125,8192.0,8.736515045166016,6,0.0,0.0,0.0,0.0
1,23,0.0,13.602240085601807,7.1,47.5,7.495574951171875,8.280220031738281,0,715.6953125,8192.0,8.736515045166016,0,0.0,0.0,0.0,0.0
1,24,-3.0,13.932079076766968,6.1,47.5,7.495632171630859,8.280162811279297,0,715.6953125,8192.0,8.736515045166016,5,0.0,0.0,0.0,0.0
1,25,0.0,14.265979528427124,4.9,47.5,7.495338439941406,8.28045654296875,0,715.6953125,8192.0,8.736515045166016,0,0.0,0.0,0.0,0.0
1,26,5.0,14.594314098358154,4.5,47.5,7.488819122314453,8.286975860595703,0,715.6953125,8192.0,8.736515045166016,1,0.0,0.0,0.0,0.0
1,27,-1.0,14.921489000320435,3.6,47.6,7.513069152832031,8.262691497802734,0,715.6953125,8192.0,8.736515045166016,7,0.0,0.0,0.0,0.0
1,28,-1.0,15.249399662017822,4.7,47.6,7.510280609130859,8.265514373779297,0,715.6953125,8192.0,8.736515045166016,8,0.0,0.0,0.0,0.0
1,29,-3.0,15.575718879699707,1.8,47.6,7.515689849853516,8.26010513305664,0,715.6953125,8192.0,8.736515045166016,5,0.0,0.0,0.0,0.0
1,30,-8.0,15.904050350189209,6.9,47.7,7.520771026611328,8.255023956298828,0,715.6953125,8192.0,8.736515045166016,5,0.0,0.0,0.0,0.0
1,31,0.0,16.232089281082153,12.7,47.7,7.528835296630859,8.246959686279297,0,715.6953125,8192.0,8.736515045166016,6,0.0,0.0,0.0,0.0
1,32,2.0,16.559439659118652,5.4,47.7,7.530426025390625,8.245368957519531,0,715.6953125,8192.0,8.736515045166016,7,0.0,0.0,0.0,0.0
1,33,5.0,16.885913848876953,3.0,47.7,7.530055999755859,8.245738983154297,0,715.6953125,8192.0,8.736515045166016,4,0.0,0.0,0.0,0.0
1,34,0.0,17.21140956878662,18.0,47.8,7.533832550048828,8.241962432861328,0,715.6953125,8192.0,8.736515045166016,8,0.0,0.0,0.0,0.0
1,35,-1.0,17.535465955734253,5.4,47.8,7.539581298828125,8.236213684082031,0,715.6953125,8192.0,8.736515045166016,7,0.0,0.0,0.0,0.0
1,36,-5.0,17.862560033798218,10.1,47.9,7.5487518310546875,8.227043151855469,0,715.6953125,8192.0,8.736515045166016,2,0.0,0.0,0.0,0.0
1,37,0.0,18.191760540008545,4.9,47.9,7.552509307861328,8.223285675048828,0,715.6953125,8192.0,8.736515045166016,1,0.0,0.0,0.0,0.0
2,38,-3.0,18.52048349380493,6.7,47.9,7.5522308349609375,8.223564147949219,0,715.6953125,8192.0,8.736515045166016,5,0.0,0.0,0.0,0.0
2,39,10.0,18.848291158676147,8.7,47.9,7.5524444580078125,8.223350524902344,0,715.6953125,8192.0,8.736515045166016,1,0.0,0.0,0.0,0.0
2,40,0.0,19.18043351173401,0.7,47.9,7.552406311035156,8.223388671875,0,715.6953125,8192.0,8.736515045166016,0,0.0,0.0,0.0,0.0
2,41,-5.0,19.508575916290283,0.0,47.9,7.5506134033203125,8.225181579589844,0,715.6953125,8192.0,8.736515045166016,2,0.0,0.0,0.0,0.0
2,42,-3.0,19.835076093673706,2.6,47.9,7.561302185058594,8.214492797851562,0,715.6953125,8192.0,8.736515045166016,3,0.0,0.0,0.0,0.0
2,43,0.0,20.16313409805298,0.0,47.9,7.551387786865234,8.224407196044922,0,715.6953125,8192.0,8.736515045166016,7,0.0,0.0,0.0,0.0
2,44,3.0,20.50531554222107,6.9,47.9,7.5502777099609375,8.225517272949219,0,715.6953125,8192.0,8.736515045166016,6,0.0,0.0,0.0,0.0
2,45,-3.0,20.831897258758545,3.4,47.8,7.548542022705078,8.227252960205078,0,715.6953125,8192.0,8.736515045166016,3,0.0,0.0,0.0,0.0
2,46,0.0,21.162055730819702,6.5,47.8,7.548381805419922,8.227413177490234,0,715.6953125,8192.0,8.736515045166016,3,0.0,0.0,0.0,0.0
2,47,-3.0,21.488993167877197,8.4,47.8,7.54779052734375,8.228004455566406,0,715.6953125,8192.0,8.736515045166016,3,0.0,0.0,0.0,0.0
2,48,0.0,21.830145835876465,10.2,47.9,7.5532684326171875,8.222484588623047,0,715.6953125,8192.0,8.736515045166016,1,0.0,0.0,0.0,0.0
2,49,-3.0,22.16063618659973,4.0,47.8,7.547237396240234,8.228557586669922,0,715.6953125,8192.0,8.736515045166016,5,0.0,0.0,0.0,0.0
2,50,0.0,22.488168001174927,0.0,47.8,7.5456695556640625,8.230125427246094,0,715.6953125,8192.0,8.736515045166016,7,0.0,0.0,0.0,0.0
2,51,0.0,22.811890363693237,2.3,47.8,7.541805267333984,8.233989715576172,0,715.6953125,8192.0,8.736515045166016,1,0.0,0.0,0.0,0.0
2,52,0.0,23.142174005508423,2.5,47.8,7.544567108154297,8.23122787475586,0,715.6953125,8192.0,8.736515045166016,1,0.0,0.0,0.0,0.0
2,53,-8.0,23.468183517456055,0.0,47.8,7.544273376464844,8.231521606445312,0,715.6953125,8192.0,8.736515045166016,5,0.0,0.0,0.0,0.0
2,54,-1.0,23.808621644973755,0.5,47.8,7.543758392333984,8.232036590576172,0,715.6953125,8192.0,8.736515045166016,8,0.0,0.0,0.0,0.0
2,55,-3.0,24.13674521446228,2.0,47.8,7.542842864990234,8.232952117919922,0,715.6953125,8192.0,8.736515045166016,3,0.0,0.0,0.0,0.0
3,56,-1.0,24.464532613754272,5.3,47.8,7.541393280029297,8.23440170288086,0,715.6953125,8192.0,8.736515045166016,6,0.0,0.0,0.0,0.0
3,57,-1.0,24.806015968322754,0.5,47.8,7.5409088134765625,8.234886169433594,0,715.6953125,8192.0,8.736515045166016,6,0.0,0.0,0.0,0.0
3,58,1.0,25.13061833381653,7.8,47.8,7.539939880371094,8.235855102539062,0,715.6953125,8192.0,8.736515045166016,1,0.0,0.0,0.0,0.0
3,59,-3.0,25.474379301071167,3.2,47.8,7.538856506347656,8.2369384765625,0,715.6953125,8192.0,8.736515045166016,4,0.0,0.0,0.0,0.0
3,60,3.0,25.80007243156433,1.9,47.8,7.538349151611328,8.237445831298828,0,715.6953125,8192.0,8.736515045166016,3,0.0,0.0,0.0,0.0
3,61,-3.0,26.128854990005493,3.1,47.8,7.5377349853515625,8.238059997558594,0,715.6953125,8192.0,8.736515045166016,5,0.0,0.0,0.0,0.0
3,62,0.0,26.468569040298462,1.6,47.8,7.535755157470703,8.240039825439453,0,715.6953125,8192.0,8.736515045166016,1,0.0,0.0,0.0,0.0
3,63,-1.0,26.79942011833191,0.0,47.8,7.535320281982422,8.240489959716797,0,715.6953125,8192.0,8.736515045166016,6,0.0,0.0,0.0,0.0
3,64,-1.0,27.125353813171387,0.7,47.8,7.542011260986328,8.233783721923828,0,715.6953125,8192.0,8.736515045166016,7,0.0,0.0,0.0,0.0
3,65,0.0,27.470170497894287,0.7,47.8,7.5419158935546875,8.233879089355469,0,715.6953125,8192.0,8.736515045166016,1,0.0,0.0,0.0,0.0
3,66,1.0,27.796929359436035,0.0,47.8,7.541370391845703,8.234424591064453,0,715.6953125,8192.0,8.736515045166016,1,0.0,0.0,0.0,0.0
3,67,-3.0,28.123390674591064,0.0,47.8,7.539867401123047,8.23592758178711,0,715.6953125,8192.0,8.736515045166016,5,0.0,0.0,0.0,0.0
3,68,-3.0,28.465869903564453,0.0,47.8,7.535606384277344,8.240188598632812,0,715.6953125,8192.0,8.736515045166016,3,0.0,0.0,0.0,0.0
3,69,-1.0,28.794424295425415,0.0,47.8,7.535491943359375,8.240303039550781,0,715.6953125,8192.0,8.736515045166016,6,0.0,0.0,0.0,0.0
3,70,-1.0,29.120710611343384,0.0,47.8,7.540077209472656,8.2357177734375,0,715.6953125,8192.0,8.736515045166016,6,0.0,0.0,0.0,0.0
4,71,-1.0,29.44909691810608,0.0,47.8,7.539333343505859,8.236461639404297,0,715.6953125,8192.0,8.736515045166016,6,0.0,0.0,0.0,0.0
