episode,step,reward,timestamp,cpu_percent,ram_percent,ram_used_gb,ram_available_gb,gpu_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent,action,penalty_total_penalty,penalty_gpu_penalty,penalty_cpu_penalty,penalty_ram_penalty
0,0,-2.0,5.6128249168396,7.1,69.9,11.025371551513672,4.750423431396484,0,1449.35546875,8192.0,17.69232749938965,4,0.0,0.0,0.0,0.0
0,1,0.0,5.938707113265991,3.3,69.9,11.025936126708984,4.749858856201172,0,1449.35546875,8192.0,17.69232749938965,0,0.0,0.0,0.0,0.0
0,2,2.0,6.264795303344727,4.4,69.9,11.025638580322266,4.750156402587891,0,1448.91796875,8192.0,17.686986923217773,1,0.0,0.0,0.0,0.0
0,3,0.0,6.592278242111206,5.1,69.9,11.028518676757812,4.747276306152344,0,1447.16796875,8192.0,17.665624618530273,2,0.0,0.0,0.0,0.0
0,4,-3.0,6.917052984237671,6.1,69.9,11.028827667236328,4.746967315673828,0,1444.79296875,8192.0,17.636632919311523,3,0.0,0.0,0.0,0.0
0,5,0.0,7.247335195541382,0.0,69.9,11.028797149658203,4.746997833251953,0,1444.79296875,8192.0,17.636632919311523,1,0.0,0.0,0.0,0.0
0,6,2.0,7.576093912124634,1.5,69.9,11.028152465820312,4.747642517089844,0,1444.79296875,8192.0,17.636632919311523,3,0.0,0.0,0.0,0.0
1,7,2.0,7.917063474655151,1.6,70.0,11.039104461669922,4.736644744873047,0,1444.79296875,8192.0,17.636632919311523,2,0.0,0.0,0.0,0.0
1,8,-2.0,8.247344732284546,22.1,69.2,10.913970947265625,4.861824035644531,0,1444.79296875,8192.0,17.636632919311523,5,0.0,0.0,0.0,0.0
1,9,-2.0,8.578430652618408,0.9,69.2,10.91293716430664,4.862857818603516,0,1444.79296875,8192.0,17.636632919311523,5,0.0,0.0,0.0,0.0
1,10,3.0,8.905951499938965,27.5,69.2,10.910205841064453,4.865589141845703,0,1444.79296875,8192.0,17.636632919311523,3,0.0,0.0,0.0,0.0
1,11,0.0,9.236673355102539,0.0,69.2,10.910186767578125,4.865608215332031,0,1444.79296875,8192.0,17.636632919311523,5,0.0,0.0,0.0,0.0
1,12,-3.0,9.566056489944458,11.7,69.2,10.909629821777344,4.8661651611328125,0,1444.79296875,8192.0,17.636632919311523,3,0.0,0.0,0.0,0.0
2,13,8.0,9.894599437713623,3.9,69.2,10.909477233886719,4.8663177490234375,0,1444.79296875,8192.0,17.636632919311523,4,0.0,0.0,0.0,0.0
2,14,-7.0,10.221439838409424,4.4,69.1,10.907722473144531,4.868072509765625,0,1444.79296875,8192.0,17.636632919311523,4,0.0,0.0,0.0,0.0
2,15,2.0,10.54588532447815,3.0,69.1,10.90713882446289,4.868656158447266,0,1444.79296875,8192.0,17.636632919311523,3,0.0,0.0,0.0,0.0
2,16,4.0,10.872882604598999,5.8,69.1,10.907665252685547,4.868129730224609,0,1444.79296875,8192.0,17.636632919311523,5,0.0,0.0,0.0,0.0
2,17,-4.0,11.204297065734863,7.8,69.1,10.908554077148438,4.867240905761719,0,1444.79296875,8192.0,17.636632919311523,4,0.0,0.0,0.0,0.0
3,18,4.0,11.533748626708984,6.2,69.1,10.907550811767578,4.868274688720703,0,1444.79296875,8192.0,17.636632919311523,5,0.0,0.0,0.0,0.0
3,19,-4.0,11.862958431243896,6.2,69.1,10.90213394165039,4.873661041259766,0,1444.79296875,8192.0,17.636632919311523,4,0.0,0.0,0.0,0.0
3,20,0.0,12.211688756942749,0.0,69.1,10.901870727539062,4.873924255371094,0,1444.79296875,8192.0,17.636632919311523,0,0.0,0.0,0.0,0.0
3,21,7.0,12.535701990127563,1.4,69.2,10.909679412841797,4.866115570068359,0,1444.79296875,8192.0,17.636632919311523,3,0.0,0.0,0.0,0.0
