episode,step,reward,timestamp,cpu_percent,ram_percent,ram_used_gb,ram_available_gb,gpu_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent,action,penalty_total_penalty,penalty_cpu_penalty,penalty_gpu_penalty,penalty_ram_penalty
0,0,-3.0,7.883288145065308,10.6,76.3,12.040275573730469,3.7355194091796875,1,1475.47265625,8192.0,18.011140823364258,3,0.0,0.0,0.0,0.0
0,1,-1.0,8.194821834564209,5.8,76.4,12.04983901977539,3.7259559631347656,0,1475.47265625,8192.0,18.011140823364258,7,0.0,0.0,0.0,0.0
0,2,0.0,8.508665084838867,11.1,76.3,12.042510986328125,3.7332839965820312,0,1475.47265625,8192.0,18.011140823364258,0,0.0,0.0,0.0,0.0
0,3,-1.0,8.820698022842407,12.9,76.3,12.039329528808594,3.7364654541015625,0,1475.47265625,8192.0,18.011140823364258,7,0.0,0.0,0.0,0.0
0,4,-3.0,9.134292364120483,13.0,76.3,12.03335952758789,3.7424354553222656,0,1475.47265625,8192.0,18.011140823364258,5,0.0,0.0,0.0,0.0
0,5,-3.0,9.439149141311646,19.4,76.2,12.021171569824219,3.7546234130859375,0,1475.47265625,8192.0,18.011140823364258,3,0.0,0.0,0.0,0.0
0,6,3.0,9.76801347732544,9.3,76.1,12.010505676269531,3.765289306640625,0,1474.34765625,8192.0,17.997407913208008,4,0.0,0.0,0.0,0.0
0,7,-3.0,10.084235906600952,5.9,76.1,12.00042724609375,3.7753677368164062,0,1475.47265625,8192.0,18.011140823364258,5,0.0,0.0,0.0,0.0
0,8,0.0,10.387906789779663,8.4,76.1,12.001808166503906,3.7739830017089844,0,1475.47265625,8192.0,18.011140823364258,2,0.0,0.0,0.0,0.0
0,9,0.0,10.708425283432007,4.4,76.1,12.005474090576172,3.7703208923339844,0,1475.47265625,8192.0,18.011140823364258,2,0.0,0.0,0.0,0.0
0,10,-1.0,11.026243448257446,2.7,75.8,11.952342987060547,3.8234519958496094,1,1475.47265625,8192.0,18.011140823364258,7,0.0,0.0,0.0,0.0
0,11,-3.0,11.337626695632935,4.0,75.8,11.95050048828125,3.8252944946289062,1,1475.47265625,8192.0,18.011140823364258,3,0.0,0.0,0.0,0.0
0,12,-3.0,11.64301872253418,3.3,75.7,11.949028015136719,3.8267669677734375,2,1475.47265625,8192.0,18.011140823364258,5,0.0,0.0,0.0,0.0
