episode,step,reward,timestamp,cpu_percent,ram_percent,ram_used_gb,ram_available_gb,gpu_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent
0,0,0.0,0.858048677444458,0.5,79.3,12.504283905029297,3.2715110778808594,11,1538.703125,8192.0,18.782997131347656
0,1,-3.0,1.0768184661865234,6.1,79.1,12.483287811279297,3.2925071716308594,12,1538.703125,8192.0,18.782997131347656
0,2,0.0,1.2901432514190674,14.7,79.2,12.490180969238281,3.285614013671875,9,1538.703125,8192.0,18.782997131347656
0,3,0.0,1.5074656009674072,20.7,79.2,12.487701416015625,3.2880935668945312,11,1539.015625,8192.0,18.78681182861328
0,4,3.0,1.724224328994751,3.1,79.1,12.48569107055664,3.2901268005371094,9,1539.015625,8192.0,18.78681182861328
0,5,0.0,1.940779685974121,5.6,79.1,12.482345581054688,3.2934494018554688,10,1539.015625,8192.0,18.78681182861328
0,6,-3.0,2.156808614730835,9.3,79.1,12.482376098632812,3.2934188842773438,9,1539.015625,8192.0,18.78681182861328
0,7,-1.0,2.3751208782196045,3.6,79.1,12.481422424316406,3.29437255859375,9,1539.015625,8192.0,18.78681182861328
0,8,0.0,2.593013286590576,3.1,79.1,12.481552124023438,3.2942428588867188,9,1536.9453125,8192.0,18.761539459228516
0,9,0.0,2.811035633087158,6.6,79.1,12.481056213378906,3.29473876953125,9,1536.9453125,8192.0,18.761539459228516
0,10,0.0,3.0267298221588135,3.4,79.1,12.480171203613281,3.295623779296875,9,1536.9453125,8192.0,18.761539459228516
0,11,0.0,3.2435688972473145,2.6,79.1,12.480342864990234,3.295452117919922,9,1518.8203125,8192.0,18.540287017822266
0,12,0.0,3.462630271911621,5.9,79.1,12.479866027832031,3.295928955078125,9,1518.8203125,8192.0,18.540287017822266
0,13,-1.0,3.676908254623413,3.8,79.1,12.477821350097656,3.2979736328125,9,1518.0078125,8192.0,18.53036880493164
0,14,0.0,3.8944590091705322,9.9,79.1,12.4776611328125,3.2981338500976562,9,1518.0078125,8192.0,18.53036880493164
0,15,-1.0,4.11010479927063,5.5,79.1,12.474422454833984,3.301372528076172,8,1518.0078125,8192.0,18.53036880493164
0,16,-3.0,4.327923536300659,7.3,79.1,12.476444244384766,3.2993507385253906,9,1518.0078125,8192.0,18.53036880493164
0,17,0.0,4.544529438018799,2.1,79.1,12.476119995117188,3.2996749877929688,9,1506.5390625,8192.0,18.390369415283203
0,18,-1.0,4.764240741729736,10.3,79.1,12.47707748413086,3.298717498779297,9,1506.5390625,8192.0,18.390369415283203
0,19,-1.0,4.982235431671143,3.6,79.1,12.476577758789062,3.2992172241210938,9,1505.0390625,8192.0,18.372058868408203
0,20,0.0,5.198192358016968,2.9,79.1,12.47650146484375,3.2992935180664062,9,1505.0390625,8192.0,18.372058868408203
0,21,-3.0,5.417303800582886,3.7,79.2,12.488452911376953,3.287342071533203,9,1502.4140625,8192.0,18.340015411376953
0,22,0.0,5.635862827301025,3.6,79.2,12.488231658935547,3.2875633239746094,9,1502.4140625,8192.0,18.340015411376953
0,23,0.0,5.854557752609253,2.0,79.1,12.484455108642578,3.291339874267578,9,1502.4140625,8192.0,18.340015411376953
1,24,5.0,6.0731213092803955,6.5,79.1,12.483345031738281,3.292449951171875,9,1502.4140625,8192.0,18.340015411376953
1,25,-3.0,6.290255784988403,13.4,79.1,12.48245620727539,3.2933387756347656,9,1502.4140625,8192.0,18.340015411376953
1,26,0.0,6.508254289627075,5.8,79.1,12.48220443725586,3.293590545654297,9,1502.4140625,8192.0,18.340015411376953
1,27,0.0,6.728022575378418,7.6,79.1,12.48270034790039,3.2930946350097656,9,1502.4140625,8192.0,18.340015411376953
1,28,-3.0,6.944547176361084,5.0,79.1,12.480247497558594,3.2955474853515625,9,1502.4140625,8192.0,18.340015411376953
1,29,15.0,7.162715196609497,7.8,79.1,12.479721069335938,3.2960739135742188,9,1502.4140625,8192.0,18.340015411376953
1,30,0.0,7.380099773406982,17.9,79.1,12.48275375366211,3.293041229248047,9,1502.4140625,8192.0,18.340015411376953
1,31,0.0,7.598877191543579,5.9,79.1,12.481678009033203,3.294116973876953,9,1502.4140625,8192.0,18.340015411376953
1,32,-5.0,7.818104028701782,6.9,79.1,12.481231689453125,3.2945632934570312,9,1502.4140625,8192.0,18.340015411376953
1,33,0.0,8.034586906433105,5.8,79.1,12.481136322021484,3.294658660888672,9,1502.4140625,8192.0,18.340015411376953
1,34,-3.0,8.248821496963501,4.7,79.1,12.481201171875,3.2945938110351562,9,1502.4140625,8192.0,18.340015411376953
1,35,-3.0,8.466817855834961,3.1,79.1,12.480712890625,3.2950820922851562,9,1502.4140625,8192.0,18.340015411376953
1,36,0.0,8.689682722091675,4.6,79.1,12.480369567871094,3.2954254150390625,9,1502.4140625,8192.0,18.340015411376953
1,37,-6.0,8.90446925163269,5.7,79.1,12.48093032836914,3.2948646545410156,9,1502.4140625,8192.0,18.340015411376953
1,38,-1.0,9.122125387191772,5.6,79.1,12.480934143066406,3.29486083984375,9,1502.4140625,8192.0,18.340015411376953
1,39,5.0,9.33896517753601,7.6,79.1,12.481010437011719,3.2947845458984375,9,1502.4140625,8192.0,18.340015411376953
1,40,-5.0,9.558239936828613,7.9,79.1,12.481006622314453,3.294788360595703,11,1502.4140625,8192.0,18.340015411376953
1,41,0.0,9.774410247802734,12.5,79.1,12.481586456298828,3.294208526611328,13,1519.3515625,8192.0,18.546772003173828
1,42,-1.0,9.992011547088623,1.7,79.1,12.481071472167969,3.2947235107421875,17,1522.421875,8192.0,18.584251403808594
2,43,0.0,10.207925081253052,7.4,79.1,12.48122787475586,3.294567108154297,14,1522.609375,8192.0,18.58654022216797
2,44,3.0,10.425162315368652,8.1,79.1,12.481224060058594,3.2945709228515625,11,1522.609375,8192.0,18.58654022216797
2,45,0.0,10.641308546066284,7.2,79.1,12.482200622558594,3.2935943603515625,10,1523.234375,8192.0,18.59416961669922
2,46,-1.0,10.858867168426514,9.3,79.1,12.482135772705078,3.293659210205078,15,1523.234375,8192.0,18.59416961669922
2,47,1.0,11.07715630531311,5.0,79.1,12.481121063232422,3.2946739196777344,10,1523.234375,8192.0,18.59416961669922
2,48,0.0,11.29259729385376,3.2,79.1,12.481178283691406,3.29461669921875,11,1532.984375,8192.0,18.71318817138672
2,49,-5.0,11.513114929199219,0.7,79.1,12.48117446899414,3.2946205139160156,9,1532.984375,8192.0,18.71318817138672
2,50,-3.0,11.728728294372559,5.5,79.1,12.481586456298828,3.294208526611328,11,1533.359375,8192.0,18.71776580810547
2,51,-3.0,11.945190191268921,3.8,79.1,12.481613159179688,3.2941818237304688,10,1533.359375,8192.0,18.71776580810547
2,52,-8.0,12.162896394729614,7.2,79.1,12.481498718261719,3.2942962646484375,9,1533.359375,8192.0,18.71776580810547
2,53,0.0,12.380490064620972,8.4,79.1,12.481422424316406,3.29437255859375,9,1533.359375,8192.0,18.71776580810547
2,54,0.0,12.594603061676025,7.3,79.1,12.481426239013672,3.2943687438964844,14,1533.546875,8192.0,18.720054626464844
2,55,0.0,12.81456446647644,5.9,79.1,12.481884002685547,3.2939109802246094,18,1533.546875,8192.0,18.720054626464844
2,56,2.0,13.03121018409729,3.5,79.1,12.48248291015625,3.2933120727539062,13,1533.546875,8192.0,18.720054626464844
2,57,-1.0,13.243065357208252,5.3,79.1,12.482315063476562,3.2934799194335938,13,1533.546875,8192.0,18.720054626464844
2,58,-3.0,13.462649822235107,13.3,79.1,12.48318099975586,3.292613983154297,13,1531.2265625,8192.0,18.691730499267578
2,59,-2.0,13.678111553192139,4.8,79.1,12.483829498291016,3.2919654846191406,14,1531.2265625,8192.0,18.691730499267578
2,60,-1.0,13.897174596786499,4.7,79.1,12.483909606933594,3.2918853759765625,9,1531.2265625,8192.0,18.691730499267578
2,61,-8.0,14.117997407913208,13.6,79.1,12.486202239990234,3.289592742919922,9,1531.2265625,8192.0,18.691730499267578
2,62,0.0,14.334526777267456,12.3,79.1,12.485702514648438,3.2900924682617188,8,1531.2265625,8192.0,18.691730499267578
3,63,-1.0,14.551336526870728,4.3,79.1,12.485740661621094,3.2900543212890625,9,1521.3515625,8192.0,18.571186065673828
3,64,-1.0,14.770105838775635,8.1,79.1,12.48577880859375,3.2900161743164062,9,1519.1015625,8192.0,18.543720245361328
3,65,4.0,14.988878011703491,2.6,79.1,12.48575210571289,3.2900428771972656,9,1519.1015625,8192.0,18.543720245361328
3,66,3.0,15.202795267105103,8.1,79.1,12.484508514404297,3.2912864685058594,9,1519.1015625,8192.0,18.543720245361328
3,67,-3.0,15.421679735183716,7.5,79.1,12.484123229980469,3.2916717529296875,9,1519.1015625,8192.0,18.543720245361328
3,68,0.0,15.642127513885498,3.4,79.1,12.484024047851562,3.2917709350585938,9,1514.7890625,8192.0,18.491077423095703
3,69,0.0,15.860117673873901,5.2,79.1,12.484058380126953,3.291736602783203,9,1514.7890625,8192.0,18.491077423095703
3,70,0.0,16.077410221099854,10.0,79.1,12.484073638916016,3.2917213439941406,9,1514.7890625,8192.0,18.491077423095703
