episode,step,reward,timestamp,cpu_percent,ram_percent,ram_used_gb,ram_available_gb,gpu_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent,action,penalty_gpu_penalty,penalty_total_penalty,penalty_cpu_penalty,penalty_ram_penalty
0,0,0.0,5.44170355796814,5.6,47.9,7.549350738525391,8.226444244384766,0,817.33203125,8192.0,9.977197647094727,8,0.0,0.0,0.0,0.0
0,1,5.0,5.792281150817871,5.0,47.9,7.549263000488281,8.226531982421875,0,817.33203125,8192.0,9.977197647094727,1,0.0,0.0,0.0,0.0
0,2,0.0,6.1272876262664795,3.9,47.9,7.549022674560547,8.22677230834961,0,817.33203125,8192.0,9.977197647094727,1,0.0,0.0,0.0,0.0
0,3,-3.0,6.460562705993652,5.9,47.9,7.548988342285156,8.226806640625,0,817.33203125,8192.0,9.977197647094727,5,0.0,0.0,0.0,0.0
0,4,9.0,6.79449987411499,5.5,47.9,7.548946380615234,8.226848602294922,0,817.33203125,8192.0,9.977197647094727,3,0.0,0.0,0.0,0.0
0,5,-9.0,7.1268839836120605,5.7,47.9,7.548919677734375,8.226875305175781,0,817.33203125,8192.0,9.977197647094727,3,0.0,0.0,0.0,0.0
0,6,0.0,7.456019639968872,3.4,47.9,7.54888916015625,8.226905822753906,0,817.33203125,8192.0,9.977197647094727,0,0.0,0.0,0.0,0.0
0,7,-3.0,7.7903313636779785,3.9,47.9,7.548854827880859,8.226940155029297,0,817.33203125,8192.0,9.977197647094727,4,0.0,0.0,0.0,0.0
0,8,-3.0,8.12579607963562,3.8,47.8,7.548709869384766,8.22708511352539,0,817.33203125,8192.0,9.977197647094727,4,0.0,0.0,0.0,0.0
0,9,0.0,8.457456588745117,5.3,47.8,7.548686981201172,8.227108001708984,0,817.33203125,8192.0,9.977197647094727,7,0.0,0.0,0.0,0.0
0,10,2.0,8.79245638847351,6.0,47.8,7.548622131347656,8.2271728515625,0,817.33203125,8192.0,9.977197647094727,6,0.0,0.0,0.0,0.0
0,11,-1.0,9.125951290130615,5.0,47.8,7.548580169677734,8.227214813232422,0,817.33203125,8192.0,9.977197647094727,8,0.0,0.0,0.0,0.0
0,12,-3.0,9.45935606956482,8.0,47.8,7.548484802246094,8.227310180664062,0,817.33203125,8192.0,9.977197647094727,5,0.0,0.0,0.0,0.0
0,13,-8.0,9.794642210006714,2.2,47.8,7.548252105712891,8.227542877197266,0,817.33203125,8192.0,9.977197647094727,5,0.0,0.0,0.0,0.0
0,14,-3.0,10.12744688987732,5.0,47.8,7.548149108886719,8.227645874023438,0,817.33203125,8192.0,9.977197647094727,4,0.0,0.0,0.0,0.0
0,15,-2.0,10.458920955657959,6.1,47.8,7.548091888427734,8.227703094482422,0,817.33203125,8192.0,9.977197647094727,3,0.0,0.0,0.0,0.0
0,16,-3.0,10.790217399597168,4.9,47.8,7.548065185546875,8.227729797363281,0,817.33203125,8192.0,9.977197647094727,5,0.0,0.0,0.0,0.0
1,17,0.0,11.124577522277832,6.0,47.8,7.548004150390625,8.227790832519531,0,817.33203125,8192.0,9.977197647094727,8,0.0,0.0,0.0,0.0
1,18,0.0,11.457719564437866,5.1,47.8,7.547863006591797,8.22793197631836,0,817.33203125,8192.0,9.977197647094727,4,0.0,0.0,0.0,0.0
1,19,0.0,11.79214334487915,5.1,47.8,7.547771453857422,8.228023529052734,0,817.33203125,8192.0,9.977197647094727,0,0.0,0.0,0.0,0.0
1,20,0.0,12.125626802444458,8.9,47.8,7.544219970703125,8.231575012207031,0,817.33203125,8192.0,9.977197647094727,0,0.0,0.0,0.0,0.0
1,21,0.0,12.457395076751709,5.4,47.8,7.544105529785156,8.231689453125,1,817.33203125,8192.0,9.977197647094727,1,0.0,0.0,0.0,0.0
1,22,0.0,12.792527198791504,5.1,47.8,7.544071197509766,8.23172378540039,1,817.33203125,8192.0,9.977197647094727,7,0.0,0.0,0.0,0.0
1,23,0.0,13.127624988555908,6.4,47.8,7.5440521240234375,8.231742858886719,0,817.33203125,8192.0,9.977197647094727,1,0.0,0.0,0.0,0.0
1,24,5.0,13.462863445281982,8.0,47.8,7.544017791748047,8.23177719116211,1,817.33203125,8192.0,9.977197647094727,1,0.0,0.0,0.0,0.0
1,25,0.0,13.79678726196289,4.9,47.8,7.544029235839844,8.231765747070312,1,817.33203125,8192.0,9.977197647094727,0,0.0,0.0,0.0,0.0
1,26,-8.0,14.131246566772461,5.0,47.8,7.543632507324219,8.232162475585938,0,817.33203125,8192.0,9.977197647094727,5,0.0,0.0,0.0,0.0
1,27,0.0,14.463809967041016,5.3,47.8,7.543361663818359,8.232433319091797,1,817.33203125,8192.0,9.977197647094727,0,0.0,0.0,0.0,0.0
1,28,-1.0,14.798108339309692,7.9,47.8,7.543220520019531,8.232574462890625,1,817.33203125,8192.0,9.977197647094727,8,0.0,0.0,0.0,0.0
1,29,-5.0,15.131717443466187,3.8,47.8,7.543159484863281,8.232635498046875,0,817.33203125,8192.0,9.977197647094727,2,0.0,0.0,0.0,0.0
1,30,-1.0,15.466403007507324,5.3,47.8,7.541839599609375,8.233955383300781,1,817.33203125,8192.0,9.977197647094727,6,0.0,0.0,0.0,0.0
1,31,-1.0,15.795194387435913,6.0,47.8,7.5418243408203125,8.233970642089844,1,817.33203125,8192.0,9.977197647094727,6,0.0,0.0,0.0,0.0
1,32,-3.0,16.127895832061768,5.2,47.8,7.5418243408203125,8.233970642089844,0,817.33203125,8192.0,9.977197647094727,5,0.0,0.0,0.0,0.0
1,33,-3.0,16.459845542907715,6.7,47.8,7.541622161865234,8.234172821044922,1,817.33203125,8192.0,9.977197647094727,4,0.0,0.0,0.0,0.0
1,34,-3.0,16.79346752166748,5.5,47.8,7.541584014892578,8.234210968017578,1,817.33203125,8192.0,9.977197647094727,4,0.0,0.0,0.0,0.0
1,35,0.0,17.127604961395264,5.0,47.8,7.5415802001953125,8.234214782714844,0,817.33203125,8192.0,9.977197647094727,3,0.0,0.0,0.0,0.0
1,36,-1.0,17.458576679229736,50.0,47.8,7.5413818359375,8.234413146972656,1,817.33203125,8192.0,9.977197647094727,6,0.0,0.0,0.0,0.0
1,37,0.0,17.789843797683716,5.2,47.8,7.540748596191406,8.23504638671875,1,817.33203125,8192.0,9.977197647094727,6,0.0,0.0,0.0,0.0
1,38,7.0,18.12320613861084,4.3,47.8,7.540748596191406,8.23504638671875,0,817.33203125,8192.0,9.977197647094727,6,0.0,0.0,0.0,0.0
2,39,-1.0,18.45826268196106,9.1,47.8,7.5407257080078125,8.235069274902344,1,817.33203125,8192.0,9.977197647094727,8,0.0,0.0,0.0,0.0
2,40,-1.0,18.79257082939148,5.3,47.8,7.542423248291016,8.23337173461914,1,817.33203125,8192.0,9.977197647094727,6,0.0,0.0,0.0,0.0
2,41,1.0,19.127259969711304,5.1,47.8,7.544124603271484,8.231670379638672,0,817.33203125,8192.0,9.977197647094727,1,0.0,0.0,0.0,0.0
2,42,-3.0,19.461690425872803,6.5,47.8,7.544837951660156,8.23095703125,1,817.33203125,8192.0,9.977197647094727,5,0.0,0.0,0.0,0.0
2,43,-8.0,19.795231819152832,4.8,47.8,7.545112609863281,8.230682373046875,1,817.33203125,8192.0,9.977197647094727,5,0.0,0.0,0.0,0.0
2,44,-3.0,20.128753185272217,5.3,47.8,7.545162200927734,8.230632781982422,0,817.33203125,8192.0,9.977197647094727,5,0.0,0.0,0.0,0.0
2,45,-1.0,20.460732221603394,5.3,47.8,7.5450897216796875,8.230705261230469,1,817.33203125,8192.0,9.977197647094727,8,0.0,0.0,0.0,0.0
2,46,0.0,20.79411292076111,4.8,47.8,7.539829254150391,8.235965728759766,1,817.33203125,8192.0,9.977197647094727,3,0.0,0.0,0.0,0.0
2,47,7.0,21.12762427330017,5.5,47.8,7.540050506591797,8.23574447631836,0,817.33203125,8192.0,9.977197647094727,7,0.0,0.0,0.0,0.0
2,48,-3.0,21.463743686676025,5.7,47.7,7.529441833496094,8.246353149414062,1,817.33203125,8192.0,9.977197647094727,5,0.0,0.0,0.0,0.0
2,49,1.0,21.79482102394104,5.1,47.7,7.522602081298828,8.253192901611328,1,817.33203125,8192.0,9.977197647094727,2,0.0,0.0,0.0,0.0
2,50,-1.0,22.127108335494995,100.0,47.7,7.523284912109375,8.25250244140625,0,817.33203125,8192.0,9.977197647094727,7,0.0,0.0,0.0,0.0
2,51,1.0,22.458168745040894,5.4,47.7,7.523792266845703,8.252002716064453,1,817.33203125,8192.0,9.977197647094727,1,0.0,0.0,0.0,0.0
2,52,-2.0,22.792327642440796,0.9,47.7,7.5258331298828125,8.249961853027344,1,817.33203125,8192.0,9.977197647094727,4,0.0,0.0,0.0,0.0
2,53,-1.0,23.137293815612793,1.5,47.7,7.525749206542969,8.250045776367188,0,817.33203125,8192.0,9.977197647094727,7,0.0,0.0,0.0,0.0
3,54,-3.0,23.48066997528076,100.0,47.7,7.526283264160156,8.24951171875,2,817.33203125,8192.0,9.977197647094727,4,0.0,0.0,0.0,0.0
3,55,0.0,23.80990505218506,0.0,47.7,7.526206970214844,8.249588012695312,2,817.33203125,8192.0,9.977197647094727,0,0.0,0.0,0.0,0.0
3,56,3.0,24.137848615646362,1.8,47.7,7.526336669921875,8.249458312988281,0,817.33203125,8192.0,9.977197647094727,7,0.0,0.0,0.0,0.0
3,57,-3.0,24.482840538024902,0.0,47.7,7.526176452636719,8.249618530273438,2,817.33203125,8192.0,9.977197647094727,4,0.0,0.0,0.0,0.0
3,58,2.0,24.81444001197815,4.3,47.7,7.526153564453125,8.249641418457031,2,817.33203125,8192.0,9.977197647094727,3,0.0,0.0,0.0,0.0
