episode,step,reward,timestamp,cpu_percent,ram_percent,ram_used_gb,ram_available_gb,gpu_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent,content_meta_loss,content_iteration,action
0,0,-1810.7216796875,58.44889497756958,1.3,55.8,8.805301666259766,6.970493316650391,3,1078.9765625,8192.0,13.171100616455078,1810.7216796875,1,-1
0,1,-382.82330322265625,116.08521056175232,5.2,58.9,9.291629791259766,6.484165191650391,2,1119.98828125,8192.0,13.671731948852539,382.82330322265625,2,-1
0,2,-981.5987548828125,174.28008270263672,8.0,66.3,10.451610565185547,5.324184417724609,2,1252.96875,8192.0,15.295028686523438,981.5987548828125,3,-1
0,3,-22680.732421875,232.48701858520508,1.6,63.1,9.958721160888672,5.817073822021484,3,1253.12890625,8192.0,15.29698371887207,22680.732421875,4,-1
0,4,-343.9371337890625,291.0570867061615,3.0,58.9,9.299491882324219,6.4775543212890625,2,1202.39453125,8192.0,14.677667617797852,343.9371337890625,5,-1
0,5,-11031.5283203125,350.51802015304565,10.4,59.0,9.312004089355469,6.4637908935546875,0,1214.16015625,8192.0,14.821290969848633,11031.5283203125,6,-1
0,6,-10484.61328125,409.4646031856537,0.0,59.1,9.327354431152344,6.4484405517578125,3,1254.05078125,8192.0,15.308237075805664,10484.61328125,7,-1
0,7,-5743.8330078125,469.2767150402069,0.0,59.2,9.338619232177734,6.437175750732422,1,1198.80078125,8192.0,14.633798599243164,5743.8330078125,8,-1
0,8,-2247.47314453125,527.7351467609406,8.3,60.1,9.474586486816406,6.30120849609375,2,1308.6015625,8192.0,15.974140167236328,2247.47314453125,9,-1
0,9,-13528.0830078125,587.1581788063049,12.8,60.8,9.594188690185547,6.181606292724609,0,1256.3203125,8192.0,15.335941314697266,13528.0830078125,10,-1
0,10,-1035.5699462890625,646.3761837482452,6.9,60.1,9.476036071777344,6.2997589111328125,2,1250.2265625,8192.0,15.261554718017578,1035.5699462890625,11,-1
0,11,-2327.146240234375,705.5120761394501,4.3,59.8,9.431209564208984,6.344585418701172,3,1239.7890625,8192.0,15.134143829345703,2327.146240234375,12,-1
0,12,-778.4082641601562,763.9680440425873,5.6,60.4,9.527915954589844,6.2478790283203125,3,1311.8515625,8192.0,16.013813018798828,778.4082641601562,13,-1
0,13,-9123.3876953125,823.934070110321,0.9,59.8,9.429241180419922,6.346553802490234,7,1229.54296875,8192.0,15.009069442749023,9123.3876953125,14,-1
0,14,-6656.38818359375,882.128410577774,1.5,62.4,9.836864471435547,5.938930511474609,0,1301.10546875,8192.0,15.882635116577148,6656.38818359375,15,-1
0,15,-4448.4599609375,941.0460259914398,2.7,52.5,8.283672332763672,7.492122650146484,0,1119.80859375,8192.0,13.669538497924805,4448.4599609375,16,-1
0,16,-10515.9267578125,998.923992395401,16.9,52.5,8.289775848388672,7.486019134521484,1,1094.7265625,8192.0,13.363361358642578,10515.9267578125,17,-1
0,17,-12283.869140625,1057.1913623809814,3.2,52.3,8.249847412109375,7.525947570800781,0,1094.7265625,8192.0,13.363361358642578,12283.869140625,18,-1
0,18,-253.96954345703125,1114.7494428157806,8.6,52.2,8.229606628417969,7.5461883544921875,0,1094.7265625,8192.0,13.363361358642578,253.96954345703125,19,-1
0,19,-7880.6728515625,1172.423169851303,2.0,52.1,8.218658447265625,7.557136535644531,0,1095.0390625,8192.0,13.367176055908203,7880.6728515625,20,-1
0,20,-8978.25,1230.0517840385437,36.0,51.1,8.063861846923828,7.711933135986328,3,1095.0390625,8192.0,13.367176055908203,8978.25,21,-1
0,21,-3578.115478515625,1287.627345085144,2.5,51.0,8.044105529785156,7.731689453125,0,1095.0390625,8192.0,13.367176055908203,3578.115478515625,22,-1
0,22,-31.47130584716797,1345.758760213852,6.4,51.2,8.076213836669922,7.699581146240234,0,1095.0390625,8192.0,13.367176055908203,31.47130584716797,23,-1
0,23,-1368.623779296875,1403.9413330554962,1.1,51.0,8.047233581542969,7.7285614013671875,0,1095.0390625,8192.0,13.367176055908203,1368.623779296875,24,-1
0,24,-19010.42578125,1462.0301702022552,13.7,51.1,8.063640594482422,7.712154388427734,0,1095.0390625,8192.0,13.367176055908203,19010.42578125,25,-1
0,25,-5825.3798828125,1519.5968477725983,2.0,51.0,8.047786712646484,7.728008270263672,0,1095.0390625,8192.0,13.367176055908203,5825.3798828125,26,-1
0,26,-67.946044921875,1577.39852976799,21.4,51.1,8.059440612792969,7.7163543701171875,0,1095.0390625,8192.0,13.367176055908203,67.946044921875,27,-1
0,27,-6034.00830078125,1634.7707982063293,5.9,50.9,8.035415649414062,7.740379333496094,0,1095.0390625,8192.0,13.367176055908203,6034.00830078125,28,-1
0,28,-7053.099609375,1693.4158487319946,9.6,51.1,8.053951263427734,7.721843719482422,0,1095.0390625,8192.0,13.367176055908203,7053.099609375,29,-1
0,29,-822.6281127929688,1751.3201258182526,5.1,51.0,8.043888092041016,7.731906890869141,0,1095.0390625,8192.0,13.367176055908203,822.6281127929688,30,-1
0,30,-17874.095703125,1809.531210899353,1.0,50.9,8.030029296875,7.745765686035156,0,1095.0390625,8192.0,13.367176055908203,17874.095703125,31,-1
0,31,-13090.2470703125,1867.275687456131,0.0,51.0,8.044517517089844,7.7312774658203125,0,1095.0390625,8192.0,13.367176055908203,13090.2470703125,32,-1
0,32,-5872.49755859375,1924.732480764389,0.0,50.9,8.03055191040039,7.745243072509766,0,1095.0390625,8192.0,13.367176055908203,5872.49755859375,33,-1
0,33,-6053.35107421875,1982.8526058197021,1.8,51.0,8.044998168945312,7.730796813964844,0,1095.0390625,8192.0,13.367176055908203,6053.35107421875,34,-1
0,34,-38923.6875,2041.86332321167,2.8,50.9,8.033939361572266,7.741855621337891,0,1095.0390625,8192.0,13.367176055908203,38923.6875,35,-1
0,35,-1956.4083251953125,2100.1533586978912,0.0,51.0,8.045528411865234,7.730266571044922,0,1095.0390625,8192.0,13.367176055908203,1956.4083251953125,36,-1
0,36,-8164.12548828125,2158.727121114731,23.5,50.8,8.018684387207031,7.757110595703125,3,1095.0390625,8192.0,13.367176055908203,8164.12548828125,37,-1
0,37,-9474.810546875,2217.5559933185577,4.0,50.8,8.015663146972656,7.7601318359375,0,1095.0390625,8192.0,13.367176055908203,9474.810546875,38,-1
0,38,-2147.11962890625,2275.098334789276,21.4,50.8,8.017681121826172,7.758113861083984,0,1095.0390625,8192.0,13.367176055908203,2147.11962890625,39,-1
0,39,-5207.94921875,2333.819095849991,1.7,50.8,8.020313262939453,7.755485534667969,0,1095.0390625,8192.0,13.367176055908203,5207.94921875,40,-1
0,40,-16711.86328125,2392.9762115478516,1.5,50.8,8.015483856201172,7.760311126708984,0,1095.0390625,8192.0,13.367176055908203,16711.86328125,41,-1
0,41,-19841.080078125,2452.17795920372,3.4,50.8,8.016899108886719,7.7588958740234375,0,1095.0390625,8192.0,13.367176055908203,19841.080078125,42,-1
0,42,-5240.8759765625,2511.025582551956,0.0,50.8,8.016216278076172,7.759578704833984,0,1095.0390625,8192.0,13.367176055908203,5240.8759765625,43,-1
0,43,-143.8003692626953,2570.145663022995,1.7,50.9,8.030582427978516,7.745212554931641,0,1095.0390625,8192.0,13.367176055908203,143.8003692626953,44,-1
0,44,-3541.64794921875,2627.73566865921,0.0,50.1,7.91094970703125,7.864845275878906,0,1078.609375,8192.0,13.166618347167969,3541.64794921875,45,-1
0,45,-12672.41015625,2686.7092156410217,2.2,50.1,7.9065093994140625,7.869285583496094,1,1077.109375,8192.0,13.148307800292969,12672.41015625,46,-1
0,46,-4886.71044921875,4272.445068836212,3.8,57.2,9.022781372070312,6.753013610839844,1,550.0703125,8192.0,6.714725494384766,4886.71044921875,47,-1
0,47,-4896.1337890625,4328.350256919861,0.0,56.4,8.896915435791016,6.878879547119141,0,558.50390625,8192.0,6.81767463684082,4896.1337890625,48,-1
0,48,-6749.53466796875,4385.488043546677,0.0,55.6,8.776622772216797,6.999172210693359,0,567.40234375,8192.0,6.926298141479492,6749.53466796875,49,-1
0,49,-12649.48046875,4443.035582780838,0.0,55.1,8.697189331054688,7.078605651855469,0,567.40234375,8192.0,6.926298141479492,12649.48046875,50,-1
