episode,step,reward,timestamp,cpu_percent,ram_percent,ram_used_gb,ram_available_gb,gpu_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent,action,penalty_ram_penalty,penalty_gpu_penalty,penalty_total_penalty,penalty_cpu_penalty
0,0,-2.0,1.0722556114196777,6.5,72.3,11.402080535888672,4.373714447021484,22,1072.20703125,8192.0,13.088464736938477,5,0.0,0.0,0.0,0.0
0,1,0.0,1.4014713764190674,3.5,72.3,11.41347885131836,4.362316131591797,1,1073.26953125,8192.0,13.101434707641602,7,0.0,0.0,0.0,0.0
0,2,0.0,1.7298455238342285,1.0,72.4,11.415512084960938,4.360282897949219,1,1073.26953125,8192.0,13.101434707641602,7,0.0,0.0,0.0,0.0
0,3,2.0,2.0575509071350098,0.0,72.4,11.418434143066406,4.35736083984375,0,1073.26953125,8192.0,13.101434707641602,3,0.0,0.0,0.0,0.0
0,4,0.0,2.397623300552368,7.0,72.3,11.412822723388672,4.362972259521484,0,1073.26953125,8192.0,13.101434707641602,5,0.0,0.0,0.0,0.0
0,5,-3.0,2.7252156734466553,6.5,72.3,11.412464141845703,4.363330841064453,0,1073.26953125,8192.0,13.101434707641602,5,0.0,0.0,0.0,0.0
0,6,-3.0,3.0550715923309326,4.3,72.4,11.416210174560547,4.359584808349609,0,1073.26953125,8192.0,13.101434707641602,4,0.0,0.0,0.0,0.0
0,7,4.0,3.3959288597106934,3.0,72.4,11.415817260742188,4.359977722167969,0,1073.26953125,8192.0,13.101434707641602,6,0.0,0.0,0.0,0.0
0,8,-3.0,3.7239527702331543,28.6,73.3,11.565498352050781,4.210296630859375,0,1067.39453125,8192.0,13.029718399047852,3,0.0,0.0,0.0,0.0
0,9,-3.0,4.056090831756592,15.7,73.8,11.646644592285156,4.129150390625,0,1071.39453125,8192.0,13.078546524047852,4,0.0,0.0,0.0,0.0
0,10,0.0,4.391025543212891,0.0,74.2,11.705760955810547,4.070034027099609,0,1071.39453125,8192.0,13.078546524047852,0,0.0,0.0,0.0,0.0
0,11,-1.0,4.719079256057739,0.0,74.2,11.705924987792969,4.0698699951171875,0,1071.39453125,8192.0,13.078546524047852,7,0.0,0.0,0.0,0.0
0,12,-1.0,5.044525146484375,0.0,74.2,11.7025146484375,4.073280334472656,0,1071.39453125,8192.0,13.078546524047852,8,0.0,0.0,0.0,0.0
0,13,-1.0,5.3782501220703125,4.1,74.2,11.701087951660156,4.07470703125,0,1071.39453125,8192.0,13.078546524047852,8,0.0,0.0,0.0,0.0
0,14,-3.0,5.707825660705566,1.5,74.1,11.694175720214844,4.0816192626953125,0,1071.39453125,8192.0,13.078546524047852,5,0.0,0.0,0.0,0.0
0,15,0.0,6.033432245254517,2.1,74.1,11.690628051757812,4.085166931152344,0,1071.39453125,8192.0,13.078546524047852,0,0.0,0.0,0.0,0.0
0,16,0.0,6.361187219619751,0.7,74.1,11.690460205078125,4.085334777832031,0,1071.39453125,8192.0,13.078546524047852,0,0.0,0.0,0.0,0.0
0,17,-1.0,6.705096244812012,0.0,74.1,11.689868927001953,4.085926055908203,0,1071.39453125,8192.0,13.078546524047852,7,0.0,0.0,0.0,0.0
0,18,0.0,7.034678936004639,1.6,74.1,11.689132690429688,4.086662292480469,0,1071.39453125,8192.0,13.078546524047852,0,0.0,0.0,0.0,0.0
0,19,0.0,7.358793258666992,2.3,74.1,11.689533233642578,4.086261749267578,0,1071.39453125,8192.0,13.078546524047852,1,0.0,0.0,0.0,0.0
0,20,-1.0,7.688196659088135,1.2,74.1,11.69118881225586,4.084606170654297,0,1071.39453125,8192.0,13.078546524047852,7,0.0,0.0,0.0,0.0
1,21,5.0,8.018025398254395,0.8,74.1,11.691722869873047,4.084072113037109,0,1071.39453125,8192.0,13.078546524047852,8,0.0,0.0,0.0,0.0
1,22,0.0,8.345287084579468,0.0,74.1,11.692955017089844,4.0828399658203125,0,1071.39453125,8192.0,13.078546524047852,1,0.0,0.0,0.0,0.0
1,23,0.0,8.673070430755615,1.9,74.1,11.692909240722656,4.0828857421875,0,1071.39453125,8192.0,13.078546524047852,1,0.0,0.0,0.0,0.0
1,24,0.0,9.000890254974365,0.0,74.1,11.69577407836914,4.080020904541016,0,1071.39453125,8192.0,13.078546524047852,8,0.0,0.0,0.0,0.0
1,25,0.0,9.329279661178589,0.8,74.1,11.695552825927734,4.080242156982422,0,1071.39453125,8192.0,13.078546524047852,7,0.0,0.0,0.0,0.0
1,26,0.0,9.656277418136597,3.2,74.1,11.6962890625,4.079505920410156,0,1071.39453125,8192.0,13.078546524047852,0,0.0,0.0,0.0,0.0
1,27,-1.0,9.9853036403656,4.1,74.2,11.708328247070312,4.067466735839844,0,1071.39453125,8192.0,13.078546524047852,8,0.0,0.0,0.0,0.0
