episode,step,reward,timestamp,cpu_percent,ram_percent,ram_used_gb,ram_available_gb,gpu_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent,action,penalty_cpu_penalty,penalty_ram_penalty,penalty_gpu_penalty,penalty_total_penalty
0,0,-2.58,7.025280952453613,20.3,90.0,14.201438903808594,1.5743560791015625,1,1487.74609375,8192.0,18.16096305847168,0,0.0,2.5800000000000014,0.0,2.5800000000000014
0,1,-2.4,7.353878974914551,14.6,90.0,14.200042724609375,1.5757522583007812,0,1487.74609375,8192.0,18.16096305847168,0,0.0,2.4000000000000004,0.0,2.4000000000000004
0,2,-2.4,7.678731441497803,14.4,90.0,14.198848724365234,1.5769462585449219,0,1487.74609375,8192.0,18.16096305847168,4,0.0,2.4000000000000004,0.0,2.4000000000000004
0,3,1.58,8.007476091384888,7.6,90.1,14.20711898803711,1.5686759948730469,0,1487.74609375,8192.0,18.16096305847168,5,0.0,2.419999999999999,0.0,2.419999999999999
0,4,-4.42,8.336395740509033,5.1,90.1,14.206977844238281,1.568817138671875,0,1483.24609375,8192.0,18.10603141784668,5,0.0,2.419999999999999,0.0,2.419999999999999
0,5,-2.42,8.678826093673706,14.5,90.1,14.206588745117188,1.5692062377929688,0,1483.24609375,8192.0,18.10603141784668,5,0.0,2.419999999999999,0.0,2.419999999999999
0,6,-2.4,9.007467985153198,5.1,90.0,14.197280883789062,1.5785140991210938,0,1483.24609375,8192.0,18.10603141784668,0,0.0,2.4000000000000004,0.0,2.4000000000000004
0,7,-5.4,9.335979461669922,2.2,90.0,14.196338653564453,1.5794563293457031,0,1483.24609375,8192.0,18.10603141784668,3,0.0,2.4000000000000004,0.0,2.4000000000000004
0,8,-8.32,9.66418719291687,3.1,89.6,14.13204574584961,1.6437492370605469,0,1483.24609375,8192.0,18.10603141784668,5,0.0,2.319999999999999,0.0,2.319999999999999
1,9,-2.32,9.992371320724487,6.4,89.6,14.134605407714844,1.6411895751953125,0,1483.24609375,8192.0,18.10603141784668,2,0.0,2.319999999999999,0.0,2.319999999999999
1,10,5.68,10.321123600006104,10.9,89.6,14.13724136352539,1.6385536193847656,0,1483.24609375,8192.0,18.10603141784668,4,0.0,2.319999999999999,0.0,2.319999999999999
1,11,-2.32,10.648998737335205,8.8,89.6,14.135868072509766,1.6399269104003906,0,1483.24609375,8192.0,18.10603141784668,2,0.0,2.319999999999999,0.0,2.319999999999999
1,12,-2.32,10.977338075637817,7.4,89.6,14.135551452636719,1.6402435302734375,0,1483.24609375,8192.0,18.10603141784668,2,0.0,2.319999999999999,0.0,2.319999999999999
