episode,step,reward,timestamp,cpu_percent,ram_percent,ram_used_gb,ram_available_gb,gpu_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent,action,penalty_cpu_penalty,penalty_total_penalty,penalty_ram_penalty,penalty_gpu_penalty
0,0,-1.58,9.95389437675476,7.6,85.8,13.54290771484375,2.2328834533691406,4,1405.234375,8192.0,17.15373992919922,1,0.0,1.5800000000000012,1.5800000000000012,0.0
0,1,1.44,10.314895868301392,42.1,85.5,13.48342514038086,2.2923507690429688,7,1411.734375,8192.0,17.23308563232422,3,0.0,1.5599999999999996,1.5599999999999996,0.0
0,2,-4.5,10.645831108093262,4.2,85.3,13.45681381225586,2.318981170654297,7,1411.734375,8192.0,17.23308563232422,3,0.0,1.5,1.5,0.0
0,3,-3.44,10.979286670684814,12.5,85.2,13.442996978759766,2.3327980041503906,1,1411.734375,8192.0,17.23308563232422,5,0.0,1.4400000000000006,1.4400000000000006,0.0
0,4,-1.44,11.31072211265564,9.3,85.2,13.438465118408203,2.337329864501953,1,1402.609375,8192.0,17.12169647216797,0,0.0,1.4400000000000006,1.4400000000000006,0.0
0,5,-1.44,11.649051666259766,5.7,85.2,13.437767028808594,2.3380279541015625,1,1399.609375,8192.0,17.08507537841797,2,0.0,1.4400000000000006,1.4400000000000006,0.0
0,6,-1.42,11.99854326248169,5.5,85.1,13.421619415283203,2.354175567626953,1,1399.609375,8192.0,17.08507537841797,2,0.0,1.419999999999999,1.419999999999999,0.0
0,7,-1.4,12.329851865768433,7.0,85.0,13.414714813232422,2.3608360290527344,0,1399.609375,8192.0,17.08507537841797,1,0.0,1.4000000000000001,1.4000000000000001,0.0
1,8,-1.4,12.65403127670288,2.3,85.0,13.414417266845703,2.361377716064453,0,1399.609375,8192.0,17.08507537841797,0,0.0,1.4000000000000001,1.4000000000000001,0.0
1,9,-3.42,12.987421989440918,5.1,85.1,13.43210220336914,2.3436927795410156,0,1399.609375,8192.0,17.08507537841797,4,0.0,1.419999999999999,1.419999999999999,0.0
1,10,-1.44,13.33933424949646,5.0,85.2,13.436511993408203,2.3393478393554688,0,1396.671875,8192.0,17.049217224121094,0,0.0,1.4400000000000006,1.4400000000000006,0.0
1,11,-1.44,13.661584615707397,4.2,85.2,13.440975189208984,2.334819793701172,0,1378.796875,8192.0,16.831016540527344,2,0.0,1.4400000000000006,1.4400000000000006,0.0
1,12,3.56,14.005194425582886,1.6,85.2,13.433773040771484,2.342021942138672,1,1378.796875,8192.0,16.831016540527344,5,0.0,1.4400000000000006,1.4400000000000006,0.0
1,13,0.58,14.347636461257935,4.7,85.1,13.432945251464844,2.3428497314453125,1,1378.796875,8192.0,16.831016540527344,5,0.0,1.419999999999999,1.419999999999999,0.0
