episode,step,reward,timestamp,cpu_percent,ram_percent,ram_used_gb,ram_available_gb,gpu_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent,action,penalty_ram_penalty,penalty_gpu_penalty,penalty_cpu_penalty,penalty_total_penalty
0,0,-6.0,6.571136236190796,14.4,50.5,7.971706390380859,7.804088592529297,6,826.65234375,8192.0,10.090970993041992,3,0.0,0.0,0.0,0.0
0,1,0.0,6.903056859970093,26.3,50.6,7.984142303466797,7.791652679443359,6,826.65234375,8192.0,10.090970993041992,1,0.0,0.0,0.0,0.0
0,2,-2.0,7.2364420890808105,3.4,50.5,7.971614837646484,7.804180145263672,0,828.90234375,8192.0,10.118436813354492,4,0.0,0.0,0.0,0.0
0,3,0.0,7.565941333770752,29.4,50.6,7.98565673828125,7.790138244628906,0,828.90234375,8192.0,10.118436813354492,1,0.0,0.0,0.0,0.0
0,4,0.0,7.898697137832642,22.4,50.7,7.9912261962890625,7.784568786621094,0,829.46484375,8192.0,10.125303268432617,0,0.0,0.0,0.0,0.0
0,5,5.0,8.230757236480713,20.4,50.7,8.000102996826172,7.775688171386719,0,830.15234375,8192.0,10.133695602416992,5,0.0,0.0,0.0,0.0
0,6,0.0,8.559047937393188,9.3,50.6,7.990226745605469,7.7855682373046875,0,830.27734375,8192.0,10.135221481323242,0,0.0,0.0,0.0,0.0
0,7,0.0,8.892363786697388,12.0,50.6,7.989223480224609,7.786571502685547,0,830.27734375,8192.0,10.135221481323242,0,0.0,0.0,0.0,0.0
0,8,0.0,9.22607135772705,11.0,50.7,8.002418518066406,7.77337646484375,0,830.27734375,8192.0,10.135221481323242,1,0.0,0.0,0.0,0.0
0,9,0.0,9.560330152511597,55.6,51.2,8.077880859375,7.697914123535156,1,838.08984375,8192.0,10.230588912963867,5,0.0,0.0,0.0,0.0
0,10,3.0,9.896327018737793,35.7,51.1,8.057510375976562,7.718284606933594,1,837.77734375,8192.0,10.226774215698242,4,0.0,0.0,0.0,0.0
1,11,-2.0,10.229327917098999,20.2,51.1,8.058525085449219,7.7172698974609375,0,837.58984375,8192.0,10.224485397338867,4,0.0,0.0,0.0,0.0
1,12,-3.0,10.565327405929565,20.4,51.2,8.07391357421875,7.701812744140625,0,837.71484375,8192.0,10.226011276245117,3,0.0,0.0,0.0,0.0
1,13,0.0,10.89932894706726,24.7,51.3,8.093978881835938,7.681816101074219,0,835.90234375,8192.0,10.203886032104492,2,0.0,0.0,0.0,0.0
1,14,-2.0,11.233327388763428,8.2,51.3,8.09341812133789,7.682376861572266,0,835.90234375,8192.0,10.203886032104492,4,0.0,0.0,0.0,0.0
1,15,0.0,11.567328453063965,18.6,51.4,8.106021881103516,7.669773101806641,1,836.09765625,8192.0,10.206270217895508,0,0.0,0.0,0.0,0.0
1,16,2.0,11.901328086853027,20.9,51.5,8.118648529052734,7.657146453857422,1,837.59765625,8192.0,10.224580764770508,1,0.0,0.0,0.0,0.0
1,17,-1.0,12.235328912734985,16.0,51.6,8.132694244384766,7.643100738525391,1,837.59765625,8192.0,10.224580764770508,3,0.0,0.0,0.0,0.0
2,18,0.0,12.570327758789062,22.0,51.5,8.129436492919922,7.646358489990234,2,837.59765625,8192.0,10.224580764770508,0,0.0,0.0,0.0,0.0
2,19,0.0,12.904327154159546,19.2,51.7,8.150672912597656,7.6251220703125,2,836.09765625,8192.0,10.206270217895508,0,0.0,0.0,0.0,0.0
