episode,step,reward,timestamp,cpu_percent,ram_percent,ram_used_gb,ram_available_gb,gpu_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent,action,penalty_ram_penalty,penalty_cpu_penalty,penalty_total_penalty,penalty_gpu_penalty
0,0,0.0,5.67648983001709,18.8,75.8,11.959609985351562,3.8161849975585938,0,1179.69140625,8192.0,14.400529861450195,2,0.0,0.0,0.0,0.0
0,1,0.0,6.010488748550415,9.6,75.6,11.933338165283203,3.842456817626953,0,1179.69140625,8192.0,14.400529861450195,2,0.0,0.0,0.0,0.0
0,2,0.0,6.343993186950684,2.8,75.6,11.93277359008789,3.8430213928222656,0,1179.69140625,8192.0,14.400529861450195,0,0.0,0.0,0.0,0.0
0,3,-1.0,6.67703104019165,5.3,75.6,11.932193756103516,3.8436012268066406,0,1179.69140625,8192.0,14.400529861450195,3,0.0,0.0,0.0,0.0
0,4,0.0,7.008368253707886,7.0,75.6,11.931865692138672,3.8439292907714844,0,1179.69140625,8192.0,14.400529861450195,2,0.0,0.0,0.0,0.0
0,5,0.0,7.342142581939697,4.3,75.6,11.931774139404297,3.8440208435058594,0,1175.56640625,8192.0,14.350175857543945,0,0.0,0.0,0.0,0.0
0,6,3.0,7.676142930984497,5.0,75.6,11.93350601196289,3.8424911499023438,0,1175.56640625,8192.0,14.350175857543945,2,0.0,0.0,0.0,0.0
0,7,0.0,8.008142948150635,6.9,75.6,11.932544708251953,3.843250274658203,0,1175.56640625,8192.0,14.350175857543945,0,0.0,0.0,0.0,0.0
0,8,0.0,8.339906215667725,4.7,75.6,11.932388305664062,3.8434066772460938,0,1175.56640625,8192.0,14.350175857543945,0,0.0,0.0,0.0,0.0
0,9,0.0,8.669618129730225,4.8,75.6,11.934261322021484,3.841533660888672,0,1175.56640625,8192.0,14.350175857543945,1,0.0,0.0,0.0,0.0
0,10,0.0,9.003738164901733,5.0,75.6,11.9317626953125,3.8440322875976562,0,1175.56640625,8192.0,14.350175857543945,0,0.0,0.0,0.0,0.0
0,11,0.0,9.337931871414185,5.3,75.6,11.931304931640625,3.8444900512695312,0,1175.56640625,8192.0,14.350175857543945,3,0.0,0.0,0.0,0.0
0,12,0.0,9.672197818756104,4.8,75.6,11.932281494140625,3.8435134887695312,0,1175.56640625,8192.0,14.350175857543945,2,0.0,0.0,0.0,0.0
1,13,0.0,10.006694793701172,10.3,75.6,11.93093490600586,3.844860076904297,0,1175.56640625,8192.0,14.350175857543945,2,0.0,0.0,0.0,0.0
1,14,0.0,10.339184761047363,10.8,75.6,11.93084716796875,3.8449478149414062,0,1175.56640625,8192.0,14.350175857543945,2,0.0,0.0,0.0,0.0
1,15,2.0,10.669756650924683,4.9,75.6,11.929527282714844,3.8462677001953125,0,1175.56640625,8192.0,14.350175857543945,4,0.0,0.0,0.0,0.0
1,16,0.0,11.003252744674683,5.1,75.6,11.928287506103516,3.8475074768066406,0,1175.56640625,8192.0,14.350175857543945,1,0.0,0.0,0.0,0.0
1,17,-3.0,11.335370063781738,3.2,75.6,11.928287506103516,3.8475074768066406,0,1175.56640625,8192.0,14.350175857543945,3,0.0,0.0,0.0,0.0
1,18,0.0,11.666846513748169,8.6,75.6,11.927848815917969,3.8479461669921875,0,1175.56640625,8192.0,14.350175857543945,2,0.0,0.0,0.0,0.0
1,19,-2.0,12.000846862792969,5.2,75.6,11.927574157714844,3.8482208251953125,0,1175.56640625,8192.0,14.350175857543945,4,0.0,0.0,0.0,0.0
2,20,3.0,12.333972215652466,4.3,75.6,11.927513122558594,3.8482818603515625,0,1175.56640625,8192.0,14.350175857543945,5,0.0,0.0,0.0,0.0
2,21,-3.0,12.666465759277344,6.6,75.6,11.93402099609375,3.8417739868164062,0,1175.56640625,8192.0,14.350175857543945,3,0.0,0.0,0.0,0.0
2,22,0.0,12.998941659927368,4.5,75.6,11.926856994628906,3.84893798828125,0,1175.56640625,8192.0,14.350175857543945,1,0.0,0.0,0.0,0.0
2,23,1.0,13.332214117050171,5.1,75.6,11.926368713378906,3.84942626953125,0,1175.56640625,8192.0,14.350175857543945,5,0.0,0.0,0.0,0.0
2,24,0.0,13.66398024559021,6.9,75.6,11.932548522949219,3.8432464599609375,0,1175.56640625,8192.0,14.350175857543945,3,0.0,0.0,0.0,0.0
2,25,-5.0,13.997827529907227,4.4,75.6,11.927421569824219,3.8483734130859375,0,1175.56640625,8192.0,14.350175857543945,2,0.0,0.0,0.0,0.0
2,26,5.0,14.331075429916382,5.2,75.6,11.92782211303711,3.847972869873047,0,1175.56640625,8192.0,14.350175857543945,1,0.0,0.0,0.0,0.0
3,27,0.0,14.661869525909424,6.0,75.6,11.927558898925781,3.848236083984375,0,1175.56640625,8192.0,14.350175857543945,4,0.0,0.0,0.0,0.0
3,28,-5.0,14.994919538497925,7.8,75.6,11.92447280883789,3.8513221740722656,0,1175.56640625,8192.0,14.350175857543945,2,0.0,0.0,0.0,0.0
3,29,1.0,15.327301979064941,4.7,75.6,11.924263000488281,3.851531982421875,0,1175.56640625,8192.0,14.350175857543945,4,0.0,0.0,0.0,0.0
3,30,-5.0,15.658557176589966,6.5,75.6,11.93331527709961,3.842479705810547,0,1175.56640625,8192.0,14.350175857543945,2,0.0,0.0,0.0,0.0
3,31,4.0,15.99049186706543,5.4,75.6,11.928180694580078,3.847614288330078,0,1175.56640625,8192.0,14.350175857543945,1,0.0,0.0,0.0,0.0
3,32,0.0,16.321013689041138,7.6,75.6,11.928050994873047,3.8477439880371094,0,1175.31640625,8192.0,14.347124099731445,2,0.0,0.0,0.0,0.0
4,33,4.0,16.655020236968994,16.2,75.6,11.928890228271484,3.846904754638672,6,1174.56640625,8192.0,14.337968826293945,4,0.0,0.0,0.0,0.0
4,34,0.0,16.98925232887268,4.1,75.6,11.927986145019531,3.847808837890625,7,1208.38671875,8192.0,14.750814437866211,1,0.0,0.0,0.0,0.0
4,35,0.0,17.32333755493164,9.6,75.6,11.927982330322266,3.8478126525878906,7,1208.38671875,8192.0,14.750814437866211,1,0.0,0.0,0.0,0.0
4,36,0.0,17.656259536743164,31.1,75.9,11.971733093261719,3.8040618896484375,0,1212.82421875,8192.0,14.804983139038086,0,0.0,0.0,0.0,0.0
4,37,-2.0,17.98824977874756,5.8,75.9,11.971641540527344,3.8041534423828125,0,1212.82421875,8192.0,14.804983139038086,5,0.0,0.0,0.0,0.0
4,38,0.0,18.31804084777832,6.4,75.9,11.96994400024414,3.8058509826660156,0,1212.82421875,8192.0,14.804983139038086,1,0.0,0.0,0.0,0.0
4,39,-2.0,18.65042734146118,6.5,75.8,11.964977264404297,3.8108177185058594,0,1211.94921875,8192.0,14.794301986694336,5,0.0,0.0,0.0,0.0
4,40,2.0,18.9821298122406,21.4,75.8,11.96255111694336,3.813243865966797,0,1210.19921875,8192.0,14.772939682006836,4,0.0,0.0,0.0,0.0
4,41,-4.0,19.314923763275146,13.4,75.8,11.962635040283203,3.813159942626953,0,1210.13671875,8192.0,14.772176742553711,5,0.0,0.0,0.0,0.0
5,42,0.0,19.64538836479187,9.3,75.9,11.96954345703125,3.8062515258789062,1,1210.29296875,8192.0,14.774084091186523,0,0.0,0.0,0.0,0.0
5,43,0.0,19.977924823760986,12.1,75.9,11.96633529663086,3.809459686279297,0,1210.29296875,8192.0,14.774084091186523,2,0.0,0.0,0.0,0.0
5,44,0.0,20.310950994491577,12.4,75.9,11.966899871826172,3.8088951110839844,0,1210.29296875,8192.0,14.774084091186523,0,0.0,0.0,0.0,0.0
5,45,-2.0,20.64095139503479,16.1,75.8,11.965568542480469,3.8102264404296875,0,1210.91796875,8192.0,14.781713485717773,4,0.0,0.0,0.0,0.0
5,46,-3.0,20.970752716064453,13.5,75.8,11.962821960449219,3.8129730224609375,0,1210.91796875,8192.0,14.781713485717773,3,0.0,0.0,0.0,0.0
5,47,0.0,21.30275297164917,13.3,75.8,11.963546752929688,3.8122482299804688,0,1222.35546875,8192.0,14.921331405639648,0,0.0,0.0,0.0,0.0
5,48,-3.0,21.63493013381958,19.8,75.8,11.963520050048828,3.812274932861328,1,1224.73046875,8192.0,14.950323104858398,3,0.0,0.0,0.0,0.0
5,49,2.0,21.967423915863037,9.0,75.7,11.947097778320312,3.8286972045898438,1,1224.63671875,8192.0,14.949178695678711,5,0.0,0.0,0.0,0.0
6,50,-4.0,22.30002999305725,17.1,75.7,11.94607925415039,3.8297157287597656,1,1222.19140625,8192.0,14.919328689575195,5,0.0,0.0,0.0,0.0
6,51,4.0,22.633795738220215,11.3,75.7,11.94183349609375,3.8339614868164062,1,1223.94921875,8192.0,14.940786361694336,1,0.0,0.0,0.0,0.0
6,52,-4.0,22.965795516967773,13.6,75.6,11.919109344482422,3.8566856384277344,0,1225.38671875,8192.0,14.958333969116211,5,0.0,0.0,0.0,0.0
6,53,6.0,23.299144506454468,8.6,75.5,11.916919708251953,3.858875274658203,0,1224.07421875,8192.0,14.942312240600586,4,0.0,0.0,0.0,0.0
6,54,-5.0,23.630740642547607,10.7,75.5,11.918285369873047,3.8575096130371094,0,1223.44921875,8192.0,14.934682846069336,2,0.0,0.0,0.0,0.0
7,55,3.0,23.961193323135376,7.4,75.6,11.919212341308594,3.8565826416015625,0,1223.44921875,8192.0,14.934682846069336,3,0.0,0.0,0.0,0.0
7,56,0.0,24.29309606552124,92.3,75.6,11.919013977050781,3.856781005859375,0,1224.51171875,8192.0,14.947652816772461,1,0.0,0.0,0.0,0.0
7,57,9.0,24.624749422073364,6.3,75.5,11.917762756347656,3.8580322265625,1,1223.76171875,8192.0,14.938497543334961,5,0.0,0.0,0.0,0.0
7,58,-1.0,24.958982467651367,10.2,75.5,11.908882141113281,3.866912841796875,1,1223.76171875,8192.0,14.938497543334961,3,0.0,0.0,0.0,0.0
7,59,2.0,25.290904998779297,22.0,75.5,11.910236358642578,3.865558624267578,0,1223.01171875,8192.0,14.929342269897461,3,0.0,0.0,0.0,0.0
7,60,0.0,25.62407684326172,11.7,75.5,11.908843994140625,3.8669509887695312,0,1220.57421875,8192.0,14.899587631225586,1,0.0,0.0,0.0,0.0
7,61,0.0,25.957570791244507,5.2,75.5,11.911026000976562,3.8647689819335938,0,1219.69921875,8192.0,14.888906478881836,1,0.0,0.0,0.0,0.0
7,62,0.0,26.288203716278076,6.2,75.5,11.913955688476562,3.8617897033691406,0,1217.82421875,8192.0,14.866018295288086,1,0.0,0.0,0.0,0.0
8,63,0.0,26.620965719223022,17.9,75.5,11.911613464355469,3.8641815185546875,1,1204.88671875,8192.0,14.708089828491211,4,0.0,0.0,0.0,0.0
8,64,0.0,26.953304290771484,11.8,75.5,11.914695739746094,3.8610992431640625,1,1204.88671875,8192.0,14.708089828491211,1,0.0,0.0,0.0,0.0
8,65,0.0,27.28644061088562,3.9,75.5,11.906429290771484,3.869365692138672,0,1202.13671875,8192.0,14.674520492553711,0,0.0,0.0,0.0,0.0
8,66,0.0,27.619273900985718,9.8,75.4,11.89410400390625,3.8816909790039062,1,1199.07421875,8192.0,14.637136459350586,1,0.0,0.0,0.0,0.0
8,67,2.0,27.951141834259033,0.0,75.4,11.893505096435547,3.8822975158691406,1,1196.19921875,8192.0,14.602041244506836,4,0.0,0.0,0.0,0.0
8,68,-2.0,28.283175468444824,5.6,75.4,11.897602081298828,3.878192901611328,0,1197.32421875,8192.0,14.615774154663086,2,0.0,0.0,0.0,0.0
8,69,-1.0,28.617013931274414,9.2,75.5,11.913116455078125,3.8626785278320312,0,1197.32421875,8192.0,14.615774154663086,3,0.0,0.0,0.0,0.0
8,70,0.0,28.945890426635742,1.3,75.5,11.913997650146484,3.861797332763672,0,1197.32421875,8192.0,14.615774154663086,2,0.0,0.0,0.0,0.0
8,71,-3.0,29.27099609375,1.2,75.5,11.913055419921875,3.8627395629882812,0,1195.88671875,8192.0,14.598226547241211,3,0.0,0.0,0.0,0.0
9,72,-4.0,29.612069368362427,3.0,75.5,11.912769317626953,3.863025665283203,0,1193.32421875,8192.0,14.566946029663086,5,0.0,0.0,0.0,0.0
9,73,-3.0,29.941529512405396,4.4,75.5,11.914344787597656,3.8614501953125,0,1190.19921875,8192.0,14.528799057006836,3,0.0,0.0,0.0,0.0
9,74,9.0,30.26913046836853,2.7,75.5,11.91385269165039,3.8619422912597656,0,1190.19921875,8192.0,14.528799057006836,4,0.0,0.0,0.0,0.0
9,75,0.0,30.598941802978516,1.6,75.5,11.913990020751953,3.8618125915527344,1,1190.32421875,8192.0,14.530324935913086,0,0.0,0.0,0.0,0.0
9,76,-4.0,30.927966117858887,11.0,75.4,11.90249252319336,3.873302459716797,1,1190.32421875,8192.0,14.530324935913086,1,0.0,0.0,0.0,0.0
9,77,-4.0,31.26033043861389,6.7,75.4,11.902206420898438,3.8735885620117188,0,1190.32421875,8192.0,14.530324935913086,5,0.0,0.0,0.0,0.0
10,78,0.0,31.590925455093384,9.5,75.5,11.909156799316406,3.86663818359375,1,1191.44921875,8192.0,14.544057846069336,1,0.0,0.0,0.0,0.0
10,79,-2.0,31.922942399978638,13.3,75.5,11.907642364501953,3.868152618408203,1,1191.44921875,8192.0,14.544057846069336,4,0.0,0.0,0.0,0.0
10,80,0.0,32.25485348701477,7.0,75.4,11.899482727050781,3.876312255859375,1,1191.44921875,8192.0,14.544057846069336,2,0.0,0.0,0.0,0.0
10,81,-5.0,32.581207275390625,3.2,75.4,11.89742660522461,3.878368377685547,1,1191.51171875,8192.0,14.544820785522461,2,0.0,0.0,0.0,0.0
10,82,7.0,32.92295265197754,2.4,75.4,11.896854400634766,3.8789405822753906,1,1191.51171875,8192.0,14.544820785522461,5,0.0,0.0,0.0,0.0
10,83,-2.0,33.25216841697693,0.0,75.4,11.897216796875,3.8785781860351562,0,1191.63671875,8192.0,14.546346664428711,5,0.0,0.0,0.0,0.0
11,84,-8.0,33.57809591293335,3.2,75.4,11.897972106933594,3.8778228759765625,1,1209.07421875,8192.0,14.759206771850586,5,0.0,0.0,0.0,0.0
11,85,0.0,33.90671467781067,8.4,75.4,11.897758483886719,3.8780364990234375,1,1209.07421875,8192.0,14.759206771850586,0,0.0,0.0,0.0,0.0
