episode,step,reward,timestamp,cpu_percent,ram_percent,ram_used_gb,ram_available_gb,gpu_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent,content_iteration,content_meta_loss,action
0,0,-5017.43212890625,58.06400656700134,0.0,59.7,9.413463592529297,6.362331390380859,2,1142.5078125,8192.0,13.94662857055664,1,5017.43212890625,-1
0,1,-5655.33154296875,115.2347846031189,0.0,59.4,9.374549865722656,6.4012451171875,0,1143.1328125,8192.0,13.95425796508789,2,5655.33154296875,-1
0,2,-11356.958984375,172.37978839874268,2.8,59.2,9.339012145996094,6.4367828369140625,0,1143.1328125,8192.0,13.95425796508789,3,11356.958984375,-1
0,3,-1759.86474609375,229.76107382774353,1.9,59.3,9.3616943359375,6.414100646972656,0,1143.1328125,8192.0,13.95425796508789,4,1759.86474609375,-1
0,4,-4858.8623046875,287.2853546142578,7.0,59.4,9.368209838867188,6.407585144042969,0,1143.3203125,8192.0,13.956546783447266,5,4858.8623046875,-1
0,5,-17886.97265625,344.7498869895935,12.5,56.3,8.882564544677734,6.893230438232422,0,1143.3203125,8192.0,13.956546783447266,6,17886.97265625,-1
0,6,-37.3292236328125,402.26745414733887,7.1,55.6,8.76397705078125,7.011817932128906,0,1143.3203125,8192.0,13.956546783447266,7,37.3292236328125,-1
0,7,-792.0597534179688,459.34207034111023,0.0,55.2,8.703712463378906,7.07208251953125,0,1100.625,8192.0,13.43536376953125,8,792.0597534179688,-1
0,8,-1740.5548095703125,516.3894336223602,0.0,55.3,8.727741241455078,7.048053741455078,0,1076.6875,8192.0,13.143157958984375,9,1740.5548095703125,-1
0,9,-19899.248046875,573.436464548111,100.0,55.3,8.721519470214844,7.0542755126953125,0,1082.5625,8192.0,13.214874267578125,10,19899.248046875,-1
0,10,-6981.9833984375,631.0106890201569,0.0,55.2,8.716041564941406,7.05975341796875,0,1077.125,8192.0,13.14849853515625,11,6981.9833984375,-1
0,11,-18187.640625,688.143388748169,0.0,55.2,8.709785461425781,7.066009521484375,0,1077.125,8192.0,13.14849853515625,12,18187.640625,-1
0,12,-4122.189453125,745.4685211181641,0.0,55.1,8.692066192626953,7.083728790283203,0,1077.125,8192.0,13.14849853515625,13,4122.189453125,-1
0,13,-239.6895294189453,802.5793874263763,1.1,54.9,8.656532287597656,7.1192626953125,0,1076.125,8192.0,13.13629150390625,14,239.6895294189453,-1
0,14,-21414.845703125,859.7146480083466,0.0,54.6,8.617450714111328,7.158344268798828,0,1076.125,8192.0,13.13629150390625,15,21414.845703125,-1
0,15,-23665.84765625,916.9527366161346,0.8,55.0,8.67154312133789,7.104251861572266,0,1076.125,8192.0,13.13629150390625,16,23665.84765625,-1
0,16,-7591.3017578125,974.631023645401,5.3,55.0,8.672801971435547,7.102993011474609,0,1076.125,8192.0,13.13629150390625,17,7591.3017578125,-1
0,17,-3351.2666015625,1031.5589046478271,0.0,53.7,8.467933654785156,7.307861328125,0,1076.125,8192.0,13.13629150390625,18,3351.2666015625,-1
0,18,-3857.457763671875,1089.4327945709229,0.0,53.8,8.48138427734375,7.294410705566406,0,1076.125,8192.0,13.13629150390625,19,3857.457763671875,-1
0,19,-14263.2333984375,1146.5469110012054,0.0,53.9,8.49643325805664,7.279361724853516,0,1076.125,8192.0,13.13629150390625,20,14263.2333984375,-1
0,20,-1208.7989501953125,1203.8182110786438,0.9,54.3,8.561817169189453,7.213977813720703,0,1076.125,8192.0,13.13629150390625,21,1208.7989501953125,-1
0,21,-43739.328125,1261.0264267921448,0.0,54.1,8.541751861572266,7.234043121337891,0,1076.125,8192.0,13.13629150390625,22,43739.328125,-1
