episode,step,reward,timestamp,cpu_percent,ram_percent,ram_used_gb,ram_available_gb,gpu_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent,action,penalty_ram_penalty,penalty_gpu_penalty,penalty_cpu_penalty,penalty_total_penalty
0,0,3.0,6.459585905075073,15.7,72.6,11.459156036376953,4.316638946533203,0,724.453125,8192.0,8.843421936035156,3,0.0,0.0,0.0,0.0
0,1,5.0,6.794404745101929,14.2,72.7,11.471565246582031,4.304229736328125,0,754.390625,8192.0,9.208869934082031,6,0.0,0.0,0.0,0.0
0,2,0.0,7.1257712841033936,9.0,72.8,11.478080749511719,4.2977142333984375,1,775.328125,8192.0,9.464454650878906,0,0.0,0.0,0.0,0.0
0,3,-3.0,7.4557013511657715,23.9,72.7,11.466438293457031,4.309356689453125,0,764.765625,8192.0,9.335517883300781,5,0.0,0.0,0.0,0.0
0,4,0.0,7.786962509155273,15.8,72.7,11.464725494384766,4.311069488525391,0,767.265625,8192.0,9.366035461425781,2,0.0,0.0,0.0,0.0
0,5,-3.0,8.119728803634644,3.2,72.7,11.463584899902344,4.3122100830078125,1,767.265625,8192.0,9.366035461425781,4,0.0,0.0,0.0,0.0
0,6,0.0,8.449940204620361,4.7,72.7,11.462017059326172,4.313777923583984,1,749.0078125,8192.0,9.14316177368164,8,0.0,0.0,0.0,0.0
0,7,0.0,8.779605150222778,4.2,72.7,11.461997985839844,4.3137969970703125,1,737.0078125,8192.0,8.99667739868164,1,0.0,0.0,0.0,0.0
0,8,-1.0,9.109264850616455,2.6,72.6,11.460952758789062,4.314842224121094,1,737.0078125,8192.0,8.99667739868164,7,0.0,0.0,0.0,0.0
0,9,-3.0,9.435800790786743,4.8,72.7,11.461044311523438,4.314750671386719,1,734.0078125,8192.0,8.96005630493164,4,0.0,0.0,0.0,0.0
0,10,0.0,9.763751029968262,2.9,72.6,11.461055755615234,4.314739227294922,0,734.0078125,8192.0,8.96005630493164,0,0.0,0.0,0.0,0.0
0,11,-3.0,10.090858697891235,3.9,72.7,11.470149993896484,4.305644989013672,0,734.0078125,8192.0,8.96005630493164,5,0.0,0.0,0.0,0.0
0,12,2.0,10.421699047088623,2.7,72.6,11.46072769165039,4.315067291259766,0,731.4453125,8192.0,8.928775787353516,8,0.0,0.0,0.0,0.0
0,13,-8.0,10.752077102661133,7.1,72.7,11.46310806274414,4.312686920166016,0,731.4453125,8192.0,8.928775787353516,5,0.0,0.0,0.0,0.0
