episode,step,reward,timestamp,cpu_percent,ram_percent,ram_used_gb,ram_available_gb,gpu_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent,action,penalty_gpu_penalty,penalty_total_penalty,penalty_cpu_penalty,penalty_ram_penalty
0,0,3.0,6.384926080703735,2.0,65.1,10.270259857177734,5.505535125732422,1,1289.484375,8192.0,15.740776062011719,3,0.0,0.0,0.0,0.0
0,1,-5.0,6.7133142948150635,3.9,65.1,10.269149780273438,5.506645202636719,0,1289.484375,8192.0,15.740776062011719,2,0.0,0.0,0.0,0.0
0,2,0.0,7.0397562980651855,4.2,65.1,10.273197174072266,5.502597808837891,0,1289.484375,8192.0,15.740776062011719,2,0.0,0.0,0.0,0.0
0,3,-3.0,7.36780571937561,5.1,65.0,10.254497528076172,5.521297454833984,0,1289.484375,8192.0,15.740776062011719,2,0.0,0.0,0.0,0.0
0,4,0.0,7.700321435928345,5.2,65.0,10.257705688476562,5.518089294433594,0,1289.484375,8192.0,15.740776062011719,2,0.0,0.0,0.0,0.0
1,5,0.0,8.028358221054077,9.9,65.0,10.261032104492188,5.514762878417969,0,1289.484375,8192.0,15.740776062011719,2,0.0,0.0,0.0,0.0
1,6,3.0,8.359823226928711,0.7,65.0,10.26076889038086,5.515026092529297,0,1289.484375,8192.0,15.740776062011719,4,0.0,0.0,0.0,0.0
1,7,0.0,8.688355207443237,2.4,65.0,10.260551452636719,5.5152435302734375,0,1289.484375,8192.0,15.740776062011719,2,0.0,0.0,0.0,0.0
1,8,11.0,9.016263484954834,3.3,65.1,10.2703857421875,5.505352020263672,0,1289.484375,8192.0,15.740776062011719,5,0.0,0.0,0.0,0.0
1,9,-12.0,9.344618320465088,2.2,65.0,10.259597778320312,5.516197204589844,0,1289.484375,8192.0,15.740776062011719,3,0.0,0.0,0.0,0.0
2,10,2.0,9.67408013343811,7.7,65.0,10.259151458740234,5.516681671142578,0,1289.484375,8192.0,15.740776062011719,2,0.0,0.0,0.0,0.0
2,11,0.0,10.004756689071655,2.5,65.0,10.258907318115234,5.516887664794922,0,1289.484375,8192.0,15.740776062011719,0,0.0,0.0,0.0,0.0
2,12,0.0,10.330835103988647,5.7,65.0,10.259117126464844,5.5166778564453125,0,1290.921875,8192.0,15.758323669433594,0,0.0,0.0,0.0,0.0
2,13,0.0,10.659308671951294,9.9,65.0,10.259502410888672,5.516292572021484,1,1294.296875,8192.0,15.799522399902344,0,0.0,0.0,0.0,0.0
2,14,-2.0,10.989324569702148,7.5,65.0,10.259506225585938,5.516288757324219,1,1294.296875,8192.0,15.799522399902344,4,0.0,0.0,0.0,0.0
2,15,0.0,11.315110683441162,4.1,65.0,10.26123046875,5.514564514160156,0,1294.296875,8192.0,15.799522399902344,0,0.0,0.0,0.0,0.0
2,16,2.0,11.641170263290405,3.2,65.0,10.261062622070312,5.514732360839844,0,1294.296875,8192.0,15.799522399902344,1,0.0,0.0,0.0,0.0
2,17,0.0,11.985413312911987,2.4,65.0,10.260440826416016,5.515354156494141,0,1293.046875,8192.0,15.784263610839844,2,0.0,0.0,0.0,0.0
