episode,step,reward,timestamp,cpu_percent,ram_percent,ram_used_gb,ram_available_gb,gpu_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent,action,penalty_ram_penalty,penalty_gpu_penalty,penalty_total_penalty,penalty_cpu_penalty
0,0,0.12,6.134802341461182,11.5,82.4,13.001636505126953,2.7741661071777344,8,1061.08984375,8192.0,12.952756881713867,1,0.8800000000000012,0.0,0.8800000000000012,0.0
0,1,4.12,6.457759618759155,5.7,82.4,13.001476287841797,2.7743263244628906,8,1073.02734375,8192.0,13.098478317260742,4,0.8800000000000012,0.0,0.8800000000000012,0.0
0,2,3.12,6.782677412033081,5.9,82.3,12.991104125976562,2.784698486328125,6,1073.02734375,8192.0,13.098478317260742,5,0.8800000000000012,0.0,0.8800000000000012,0.0
0,3,-7.84,7.110682010650635,3.9,82.2,12.968097686767578,2.8077049255371094,1,1075.71484375,8192.0,13.131284713745117,4,0.8400000000000006,0.0,0.8400000000000006,0.0
0,4,-0.84,7.434104919433594,5.3,82.2,12.968475341796875,2.8073272705078125,1,1075.71484375,8192.0,13.131284713745117,2,0.8400000000000006,0.0,0.8400000000000006,0.0
0,5,1.16,7.784752130508423,3.5,82.2,12.971664428710938,2.80413818359375,0,1075.71484375,8192.0,13.131284713745117,5,0.8400000000000006,0.0,0.8400000000000006,0.0
1,6,-0.84,8.107885837554932,2.2,82.2,12.962589263916016,2.813213348388672,0,1075.71484375,8192.0,13.131284713745117,0,0.8400000000000006,0.0,0.8400000000000006,0.0
1,7,4.16,8.432446956634521,9.7,82.3,12.981613159179688,2.794189453125,0,1075.90234375,8192.0,13.133573532104492,4,0.8400000000000006,0.0,0.8400000000000006,0.0
1,8,-1.02,8.755774736404419,44.6,83.3,13.146617889404297,2.6291847229003906,0,1097.11328125,8192.0,13.392496109008789,0,1.019999999999999,0.0,1.019999999999999,0.0
1,9,-1.06,9.08608102798462,64.3,83.5,13.176761627197266,2.599040985107422,2,1105.30078125,8192.0,13.492441177368164,1,1.0599999999999994,0.0,1.0599999999999994,0.0
