level_id,timestamp,game,algorithm,reset_time_ms,generation_time_ms,extract_time_ms,validation_time_ms,metrics_time_ms,solvability_time_ms,save_time_ms,total_time_ms,steps,mean_inference_ms,std_inference_ms,min_inference_ms,max_inference_ms,total_reward,diversity,complexity,unique_tiles,is_solvable,ram_start_pct,ram_end_pct,ram_delta_pct,cpu_start_pct,cpu_end_pct,cpu_delta_pct,gpu_start_pct,gpu_end_pct,gpu_delta_pct
11,2026-03-21T02:30:51.179833,sokoban,PPO,1.775286000338383,717.901300999074,0.2500400005374104,0.197892000869615,0.16630299796815962,0.000981999619398266,1.3794730002700817,721.6712769986771,6,0.981130834892004,0.10590572693254961,0.9102309995796531,1.2061270026606508,3.0,0.16,1.0,4,,43.0,43.0,0.0,2.5,1.2,-1.3,0.0,0.0,0.0
12,2026-03-21T02:30:52.316022,sokoban,PPO,1.3161139977455605,1031.210242999805,0.22287900355877355,0.1699799977359362,0.16275600137305446,0.0008919996616896242,1.3595250020443927,1034.4423890019243,9,1.1134038880603232,0.1712791782705894,0.87306099885609,1.3172859980841167,13.0,0.16,1.0,4,,43.0,43.0,0.0,3.7,1.2,-2.5,0.0,0.0,0.0
13,2026-03-21T02:30:54.574490,sokoban,PPO,1.279103998967912,2154.633381000167,0.1354750020254869,0.10029899931396358,0.11284200081718154,0.0009520008461549878,1.344346997939283,2157.606400000077,20,1.010809900253662,0.14959715042661015,0.8253109990619123,1.3009950016567018,4.0,0.12,1.0,3,,43.0,43.0,0.0,3.7,10.1,6.3999999999999995,0.0,0.0,0.0
14,2026-03-21T02:30:55.804260,sokoban,PPO,1.3309120004123542,1124.8111780005274,0.18692099911277182,0.13366100029088557,0.1455530000384897,0.000971998815657571,1.3503980007953942,1127.959594999993,10,0.9435011001187377,0.06487919640374847,0.8949920011218637,1.1229909978283104,2.0,0.12,1.0,3,,43.0,43.0,0.0,7.5,0.0,-7.5,0.0,0.0,0.0
15,2026-03-21T02:31:00.215809,sokoban,PPO,1.3019670004723594,4307.631188999949,0.1709910029603634,0.11880300007760525,0.11381399963283911,0.0008209972293116152,1.3684619989362545,4310.7060469992575,41,0.9933220732441774,0.12217829503488245,0.7547979985247366,1.344907002930995,0.0,0.12,0.6666666666666666,3,,43.0,42.9,-0.10000000000000142,3.8,2.5,-1.2999999999999998,0.0,0.0,0.0
16,2026-03-21T02:31:02.170725,sokoban,PPO,1.3839710009051487,1849.5190929970704,0.18560900207376108,0.13296000179252587,0.16094300008262508,0.0011219999578315765,1.667844997427892,1853.0515429993102,17,1.0721992942254635,0.16248366124365354,0.8985889980976935,1.4807229999860283,8.0,0.12,1.0,3,,42.9,42.9,0.0,3.7,0.0,-3.7,0.0,0.0,0.0
17,2026-03-21T02:31:03.405834,sokoban,PPO,1.286918999539921,1129.7747600001458,0.2445700010866858,0.18375500076217577,0.23086399960448034,0.0020240004232618958,1.5810709992365446,1133.3039630007988,10,1.0048598993307678,0.12066567376535561,0.8992209986899979,1.2408729999151547,-2.0,0.16,1.0,4,,42.9,42.9,0.0,3.8,0.0,-3.8,0.0,0.0,0.0
18,2026-03-21T02:31:04.638391,sokoban,PPO,1.1563430016394705,1128.277653002442,0.13657599993166514,0.09953699918696657,0.11162000009790063,0.0007620001269970089,1.47260800076765,1131.2550990041927,10,1.0703850002755644,0.14962222036614786,0.903829000890255,1.310674000706058,15.0,0.12,1.0,3,,42.9,42.9,0.0,8.9,0.0,-8.9,0.0,0.0,0.0
19,2026-03-21T02:31:06.483631,sokoban,PPO,1.3043209983152337,1740.2221730008023,0.22271900161285885,0.1699899985396769,0.15184499716269784,0.0009520008461549878,1.4158909980324097,1743.4878909953113,16,1.004750937454446,0.13102910472183762,0.8913050005503464,1.3470920021063648,15.0,0.16,1.0,4,,42.9,42.9,0.0,7.7,1.2,-6.5,0.0,0.0,0.0
20,2026-03-21T02:31:08.640407,sokoban,PPO,1.4352180005516857,2052.6797950005857,0.13347999993129633,0.09746300202095881,0.1267080006073229,0.0007320013537537307,1.3474029983626679,2055.8207990034134,19,1.0132275785604417,0.13605465895795493,0.9030170003825333,1.3593249968835153,6.0,0.12,0.8888888888888888,3,,42.9,42.9,0.0,3.7,0.0,-3.7,0.0,0.0,0.0
