level_id,timestamp,game,algorithm,reset_time_ms,generation_time_ms,extract_time_ms,validation_time_ms,metrics_time_ms,solvability_time_ms,save_time_ms,total_time_ms,steps,mean_inference_ms,std_inference_ms,min_inference_ms,max_inference_ms,total_reward,diversity,complexity,unique_tiles,is_solvable,ram_start_pct,ram_end_pct,ram_delta_pct,cpu_start_pct,cpu_end_pct,cpu_delta_pct,gpu_start_pct,gpu_end_pct,gpu_delta_pct
1,2026-01-30T21:03:11.723862,sokoban,PPO,1.140400001531816,1768.7212999990152,0.2358999990974553,0.21430000015243422,0.7749999986117473,0.0008000006346264854,108.66030000033788,1879.7479999993811,14,10.066778571724301,28.888250653975877,1.1388000002625631,114.15710000073886,-1.0,0.12,1.0,3,,66.3,67.9,1.6000000000000085,11.3,14.0,2.6999999999999993,14.055967330932617,14.705991744995117,0.6500244140625
2,2026-01-30T21:03:13.255015,sokoban,PPO,0.46239999937824905,1417.1638999996503,0.3935000004275935,0.3643000000010943,0.07929999992484227,0.0010000003385357559,3.356899998834706,1421.8212999985553,12,2.480141666637792,1.584371990174113,1.1721999999281252,6.039800000507967,6.0,0.12,1.0,3,,67.9,68.4,0.5,7.4,3.2,-4.2,14.534330368041992,14.534330368041992,0.0
3,2026-01-30T21:03:17.542219,sokoban,PPO,1.006700000289129,4165.736099999776,0.31569999919156544,0.2896999994845828,0.059100000726175494,0.0008999995770864189,12.132399999245536,4179.54059999829,37,3.402929729713218,1.6890346870643802,1.1217999999644235,7.351599999310565,-3.0,0.12,1.0,3,,68.4,68.4,0.0,1.1,4.1,2.9999999999999996,14.534330368041992,14.557886123657227,0.023555755615234375
4,2026-01-30T21:03:19.196177,sokoban,PPO,0.9993000003305497,1539.1603000007308,0.24190000112866983,0.2105999992636498,0.04260000059730373,0.0006000009307172149,3.034499999557738,1543.6898000025394,13,1.5445769228021022,0.37368318398548417,1.1377999999240274,2.338800000870833,3.0,0.12,1.0,3,,68.4,68.9,0.5,12.2,24.8,12.600000000000001,14.621973037719727,14.657163619995117,0.035190582275390625
5,2026-01-30T21:03:23.253457,sokoban,PPO,1.4418999999179505,3930.3679000004195,0.5149999997229315,0.47819999963394366,0.10870000005525071,0.0013000008038943633,13.230900000053225,3946.1439000006067,35,2.5364057142204337,1.1642139755434535,1.1331999994581565,4.989300001398078,18.0,0.12,1.0,3,,68.9,68.3,-0.6000000000000085,18.9,22.1,3.200000000000003,14.657163619995117,14.686155319213867,0.02899169921875
6,2026-01-30T21:03:24.792893,sokoban,PPO,1.039300001139054,1422.3352999997587,0.37599999996018596,0.34810000033758115,0.07849999929021578,0.0010999992809956893,2.852800000255229,1427.031100000022,12,2.1342083337003714,0.6919586135718243,1.1498000003484776,3.5937000011472264,-1.0,0.12,1.0,3,,68.3,68.3,0.0,3.1,3.1,0.0,14.668607711791992,14.662504196166992,-0.006103515625
7,2026-01-30T21:03:27.321172,sokoban,PPO,0.5442999990918906,2408.6390000011306,1.283300000068266,1.2105000005249167,0.22390000049199443,0.002300001142430119,6.9019999991724035,2418.8053000016225,21,2.432209523942133,1.0961434838403794,1.113999998779036,4.818499999601045,6.0,0.12,1.0,3,,68.3,68.4,0.10000000000000853,4.0,3.2,-0.7999999999999998,14.577817916870117,14.426755905151367,-0.15106201171875
8,2026-01-30T21:03:28.868907,sokoban,PPO,0.8271999995486112,1428.9317000002484,1.2819000003219116,1.220100000864477,0.26980000075127464,0.002499999027349986,4.279099999621394,1436.8123000003834,12,1.8472166664954177,0.8793323840965349,1.1309000001347158,4.259200000888086,-1.0,0.12,1.0,3,,68.5,68.5,0.0,10.0,11.9,1.9000000000000004,14.426755905151367,14.541959762573242,0.115203857421875
9,2026-01-30T21:03:31.191543,sokoban,PPO,0.5224999986239709,2201.308499999868,0.3754999997909181,0.3465000008873176,0.0594000011915341,0.0008000006346264854,13.197199999922304,2215.810400000919,19,2.3498999998992076,1.18054388948192,1.1190000004717149,5.401799999162904,12.0,0.12,1.0,3,,68.5,68.2,-0.29999999999999716,6.2,4.5,-1.7000000000000002,14.541959762573242,14.578580856323242,0.03662109375
10,2026-01-30T21:03:33.288373,sokoban,PPO,0.6123000002844492,1975.3765999994357,1.4620999991166173,1.376199999867822,0.23470000087399967,0.0030000010156072676,6.158700000014505,1985.2236000006087,17,1.8401000001818721,0.9051921826947895,1.1384000008547446,4.682599999796366,5.0,0.12,1.0,3,,68.2,68.3,0.09999999999999432,15.3,1.2,-14.100000000000001,14.578580856323242,14.518308639526367,-0.060272216796875
11,2026-01-30T21:03:34.716375,sokoban,PPO,0.7878000014898134,1313.2101999999577,0.22399999943445437,0.19950000023527537,0.045000000682193786,0.0007999988156370819,2.2262999991653487,1316.6935999997804,11,1.9829545455484714,0.4606446601146698,1.158499999291962,2.6180000004387693,15.0,0.12,1.0,3,,68.3,68.1,-0.20000000000000284,2.4,4.4,2.0000000000000004,14.518308639526367,14.492368698120117,-0.02593994140625
12,2026-01-30T21:03:35.481952,sokoban,PPO,0.4488000013225246,652.0086000000447,0.2976000014314195,0.26959999922837596,0.06100000064179767,0.0008000006346264854,3.140299999358831,656.2267000026623,5,1.3862199997674907,0.23570470852280906,1.179299999421346,1.845099999627564,0.0,0.12,1.0,3,,68.1,68.2,0.10000000000000853,5.5,10.5,5.0,14.492368698120117,14.492368698120117,0.0
13,2026-01-30T21:03:36.576708,sokoban,PPO,0.46600000132457353,973.2315000001108,0.2193000000261236,0.19869999960064888,0.05830000009154901,0.0005999991117278114,10.97499999923457,985.1493999995,8,2.5036500003352558,0.7592499324301885,1.4680000003863825,3.6933999999746447,4.0,0.12,1.0,3,,68.2,68.0,-0.20000000000000284,1.1,8.1,7.0,14.492368698120117,14.492368698120117,0.0
14,2026-01-30T21:03:37.565242,sokoban,PPO,0.6056999991415069,877.0241999991413,0.2179000002797693,0.19439999960013665,0.053899999329587445,0.0006999998731771484,1.8939000001410022,879.9906999975065,7,1.7471571432646928,0.31809734273053725,1.3134000000718515,2.2848999997222563,6.0,0.12,1.0,3,,68.0,68.1,0.09999999999999432,13.0,5.2,-7.8,14.492368698120117,14.438962936401367,-0.05340576171875
