level_id,timestamp,game,algorithm,reset_time_ms,generation_time_ms,extract_time_ms,validation_time_ms,metrics_time_ms,solvability_time_ms,save_time_ms,total_time_ms,steps,mean_inference_ms,std_inference_ms,min_inference_ms,max_inference_ms,total_reward,diversity,complexity,unique_tiles,is_solvable,ram_start_pct,ram_end_pct,ram_delta_pct,cpu_start_pct,cpu_end_pct,cpu_delta_pct,gpu_start_pct,gpu_end_pct,gpu_delta_pct
1,2026-01-29T23:54:49.012476,sokoban,PPO,0.5607999992207624,976.9071999980952,0.3484999979264103,0.3167999966535717,0.1024999946821481,0.0011000010999850929,18.870200001401827,997.1070999890799,7,18.618357143298322,39.53798787064025,1.115799997933209,115.41920000308892,0.0,0.2,1.0,5,,57.4,58.8,1.3999999999999986,1.9,0.7,-1.2,11.572027206420898,12.121725082397461,0.5496978759765625
2,2026-01-29T23:54:49.785857,sokoban,PPO,0.22379999427357689,648.1188999969163,0.5097000030218624,0.46270000166259706,0.1596000001882203,0.0020999941625632346,15.123600001970772,664.6003999921959,5,2.724639998632483,1.4230199275702313,1.1056000003009103,4.446599996299483,12.0,0.2,1.0,5,,58.8,58.7,-0.09999999999999432,1.4,3.9,2.5,12.121725082397461,12.160730361938477,0.039005279541015625
3,2026-01-29T23:54:51.651520,sokoban,PPO,0.40129999979399145,1749.5789999957196,0.4537999993772246,0.41169999894918874,0.13860000035492703,0.001600004907231778,5.049600003985688,1756.035600003088,15,2.0271866664794893,1.1078931228965394,1.142100001743529,5.0858999966294505,7.0,0.2,1.0,5,,58.7,58.9,0.19999999999999574,8.8,4.5,-4.300000000000001,12.160730361938477,12.026357650756836,-0.13437271118164062
4,2026-01-29T23:54:53.530576,sokoban,PPO,0.31060000037541613,1755.1918999961345,0.20169999334029853,0.1779000012902543,0.062200000684242696,0.0005999972927384079,12.722599996777717,1768.6674999858951,15,1.758873334620148,0.9229109502592596,1.146100003097672,4.481399999349378,-1.0,0.2,1.0,5,,58.9,58.9,0.0,9.4,4.3,-5.1000000000000005,12.026357650756836,12.027120590209961,0.000762939453125
5,2026-01-29T23:54:54.732439,sokoban,PPO,0.37200000224402174,1087.7474000008078,0.421799995820038,0.38330000097630545,0.1145999995060265,0.0013000026228837669,4.8973999946611,1093.9377999966382,9,2.303011111507658,0.9548587422129873,1.2678999992203899,4.225800003041513,2.0,0.2,1.0,5,,58.8,58.8,0.0,11.5,3.6,-7.9,12.027120590209961,12.044668197631836,0.017547607421875
