level_id,timestamp,game,algorithm,reset_time_ms,generation_time_ms,extract_time_ms,validation_time_ms,metrics_time_ms,solvability_time_ms,save_time_ms,total_time_ms,steps,mean_inference_ms,std_inference_ms,min_inference_ms,max_inference_ms,total_reward,diversity,complexity,unique_tiles,is_solvable,ram_start_pct,ram_end_pct,ram_delta_pct,cpu_start_pct,cpu_end_pct,cpu_delta_pct,gpu_start_pct,gpu_end_pct,gpu_delta_pct
1,2026-03-21T02:20:55.030027,zelda,PPO,2.2975389983912464,6374.342487997637,0.06401000064215623,0.0,0.43363500299165025,0.0,13.08017699921038,6390.217848998873,61,1.0903355574018712,0.20001757675752646,0.8285479998448864,1.8701049993978813,15.0,0.07792207792207792,0.9111111111111111,6,,44.1,44.4,0.29999999999999716,16.5,0.0,-16.5,0.0,0.0,0.0
2,2026-03-21T02:21:00.585635,zelda,PPO,0.535838000359945,5450.419634002174,0.03732999903149903,0.0,0.3480640007182956,0.0,2.404809998552082,5453.745676000835,52,1.0961846731403897,0.18634373281284322,0.8962649990280624,1.441229000192834,24.0,0.09090909090909091,0.8888888888888888,7,,44.4,44.2,-0.19999999999999574,6.1,0.0,-6.1,0.0,0.0,0.0
3,2026-03-21T02:21:04.392804,zelda,PPO,0.6540600006701425,3701.7250170029,0.03556700175977312,0.0,0.31291799678001553,0.0,2.584787998785032,3705.312350000895,35,1.0136546000597133,0.15454020605550967,0.8981879982457031,1.4255690002755728,20.0,0.07792207792207792,0.9555555555555556,6,,44.2,44.2,0.0,5.0,0.0,-5.0,0.0,0.0,0.0
4,2026-03-21T02:21:07.483195,zelda,PPO,0.6183719997352455,2985.2234909994877,0.046267003199318424,0.0,0.4338159997132607,0.0,2.3048120019666385,2988.626758004102,28,1.030084499819038,0.14836444226810622,0.8317540014104452,1.3457499990181532,-4.0,0.06493506493506493,0.9111111111111111,5,,44.3,44.2,-0.09999999999999432,3.7,8.8,5.1000000000000005,0.0,0.0,0.0
5,2026-03-21T02:21:13.552694,zelda,PPO,0.6225699980859645,5963.9209839988325,0.06491200110758655,0.0,0.37841099765500985,0.0,2.7704280000762083,5967.757304995757,57,1.0644926139655964,0.17697497493695974,0.8953129981819075,1.4356579995364882,28.0,0.09090909090909091,0.9777777777777777,7,,44.2,44.4,0.19999999999999574,4.9,0.0,-4.9,0.0,0.0,0.0
6,2026-03-21T02:21:17.052196,zelda,PPO,0.6254050022107549,3394.4219650002196,0.03460500010987744,0.0,0.31543300065095536,0.0,2.9557660018326715,3398.353174005024,32,0.9683283121830755,0.11086853503676844,0.8940599982452113,1.3416219990176614,0.0,0.06493506493506493,0.9555555555555556,5,,44.4,44.4,0.0,3.8,41.0,37.2,0.0,0.0,0.0
7,2026-03-21T02:21:24.006531,zelda,PPO,0.8893010017345659,6849.531093001133,0.03434500104049221,0.0,0.27967600181000307,0.0,2.569259002484614,6853.3036740082025,66,0.9736714088252153,0.10178613408020205,0.7970279984874651,1.3053829970886,16.0,0.07792207792207792,0.7333333333333333,6,,44.4,45.4,1.0,8.8,3.7,-5.1000000000000005,0.0,0.0,0.0
8,2026-03-21T02:21:29.226351,zelda,PPO,0.6843569972261321,5115.535867997096,0.03355299850227311,0.0,0.2956650023406837,0.0,2.207710000220686,5118.757152995386,49,0.9549683874903,0.08411705971461941,0.8420730009675026,1.3215940016380046,28.0,0.05194805194805195,0.8666666666666667,4,,45.3,45.6,0.30000000000000426,61.0,8.9,-52.1,0.0,0.0,0.0
9,2026-03-21T02:21:36.393417,zelda,PPO,0.6688070025120396,7062.053548001131,0.048922000132733956,0.0,0.3361019989824854,0.0,2.9010830003244337,7066.008462003083,68,1.004461249869885,0.13057770155246912,0.8682219995534979,1.4600739996240009,1.0,0.06493506493506493,0.7777777777777778,5,,45.6,45.6,0.0,8.6,26.0,17.4,0.0,0.0,0.0
10,2026-03-21T02:21:42.332194,zelda,PPO,0.7228280010167509,5832.97914600189,0.05540400161407888,0.0,0.4273129998182412,0.0,2.6212269985990133,5836.805918002938,56,1.0290228751078498,0.14933451621879515,0.8719289980945177,1.3736820001213346,10.0,0.07792207792207792,0.8444444444444444,6,,45.6,45.6,0.0,6.3,0.0,-6.3,0.0,0.0,0.0
